aid,source,layer,target_class,pad4_valid_for_model,n_rows_potency_space,exclusion_reason
463073,pubchem_hts,HTS,PAD4_EXPLICIT,True,0,
485272,pubchem_hts,HTS,PAD4_EXPLICIT,True,0,
488796,pubchem_hts,HTS,PAD4_EXPLICIT,True,0,
492970,pubchem_confirmatory,A,PAD4_EXPLICIT,True,10,
320707,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1804546,pubchem_confirmatory,A,PAD4_EXPLICIT,True,16,
1804627,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1805620,pubchem_confirmatory,A,PAD4_EXPLICIT,True,134,
1806182,pubchem_confirmatory,A,PAD4_EXPLICIT,True,80,
1806183,pubchem_confirmatory,A,PAD4_EXPLICIT,True,56,
1806764,pubchem_confirmatory,A,PAD4_EXPLICIT,True,84,
1919095,pubchem_confirmatory,A,PAD4_EXPLICIT,True,1070,
1920200,pubchem_confirmatory,A,PAD4_EXPLICIT,True,320,
1963715,pubchem_confirmatory,A,PAD4_EXPLICIT,True,46,
2202576,pubchem_confirmatory,A,PAD4_EXPLICIT,True,20,
2202577,pubchem_confirmatory,A,PAD4_EXPLICIT,True,224,
2202596,pubchem_confirmatory,A,PAD4_EXPLICIT,True,568,
2202597,pubchem_confirmatory,A,PAD4_EXPLICIT,True,18,
2202717,pubchem_confirmatory,A,PAD4_EXPLICIT,True,48,
2202442,pubchem_confirmatory,A,PAD4_EXPLICIT,True,23,
1330527,pubchem_confirmatory,A,PAD4_EXPLICIT,True,6,
1471656,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1474465,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1474486,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1511938,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1632998,pubchem_confirmatory,A,PAD4_EXPLICIT,True,8,
1651501,pubchem_confirmatory,A,PAD4_EXPLICIT,True,1,
1651502,pubchem_confirmatory,A,PAD4_EXPLICIT,True,1,
1813082,pubchem_confirmatory,A,PAD4_EXPLICIT,True,2,
1813806,pubchem_confirmatory,A,PAD4_EXPLICIT,True,6,
1875531,pubchem_confirmatory,A,PAD4_EXPLICIT,True,6,
1920046,pubchem_confirmatory,A,PAD4_EXPLICIT,True,23,
1973686,pubchem_confirmatory,A,PAD4_EXPLICIT,True,2,
1993481,pubchem_confirmatory,A,PAD4_EXPLICIT,True,6,
2006936,pubchem_confirmatory,A,PAD4_EXPLICIT,True,6,
2034405,pubchem_confirmatory,A,PAD4_EXPLICIT,True,2,
2034406,pubchem_confirmatory,A,PAD4_EXPLICIT,True,2,
2034407,pubchem_confirmatory,A,PAD4_EXPLICIT,True,1,
2071731,pubchem_confirmatory,A,PAD4_EXPLICIT,True,42,
2134413,pubchem_confirmatory,A,PAD4_EXPLICIT,True,9,
2200614,pubchem_confirmatory,A,PAD4_EXPLICIT,True,1,
1422897,pubchem_confirmatory,A,PAD4_EXPLICIT,True,5,
725673,pubchem_confirmatory,A,PAD4_EXPLICIT,True,1,
725596,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
725597,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
725598,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1196525,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1069613,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1069619,pubchem_confirmatory,A,PAD4_EXPLICIT,True,6,
1069623,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
627371,pubchem_confirmatory,A,PAD4_EXPLICIT,True,18,
627428,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
627432,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
626724,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
626728,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1069614,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
1069618,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
588488,pubchem_confirmatory,A,PAD_FAMILY,False,0,Multi-isoform assay (PAD1-4); not PAD4-resolved
588559,pubchem_confirmatory,A,PAD4_EXPLICIT,True,0,
588560,pubchem_confirmatory,A,PAD_FAMILY,False,0,Multi-isoform assay (PAD1-4); not PAD4-resolved
626735,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
626738,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
712876,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
725671,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
1069608,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
1196521,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
1364668,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
1422898,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
1422904,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
2076402,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
651867,pubchem_literature_derived,C,PAD4_EXPLICIT,True,0,
2041348,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
2041349,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
2053867,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
2053915,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
2053917,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
2193457,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1625405,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1806765,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069597,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069598,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069599,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069600,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069601,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069604,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069605,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
1069606,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
588487,pubchem_secondary,D,AMBIGUOUS,False,0,Isoform specification unclear from assay description
651627,pubchem_secondary,D,AMBIGUOUS,False,0,Isoform specification unclear from assay description
1346144,pubchem_secondary,D,PAD4_EXPLICIT,True,0,
2039667,pubchem_secondary,E,PAD4_EXPLICIT,True,0,
2053916,pubchem_secondary,E,PAD4_EXPLICIT,True,0,
627442,pubchem_secondary,E,PAD4_EXPLICIT,True,0,
627443,pubchem_secondary,E,PAD4_EXPLICIT,True,0,
1422917,pubchem_secondary,E,PAD4_EXPLICIT,True,0,
CHEMBL6111,chembl,chembl,PAD4_EXPLICIT,True,1566,
Q9UM07,bindingdb,bindingdb,PAD4_EXPLICIT,True,2827,
