inchi_key,source_list,has_non_human_data,all_human,non_human_sources,has_non_pad4_source,pad4_purity_score
PVYJZLYGTZKPJE-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
MQUQNUAYKLCRME-INIZCTEOSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
YYVYAPXYZVYDHN-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
HDXJYJIPXWVRSM-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
XQYZDYMELSJDRZ-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
JOURGLFWVLLAPY-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
AAUANTNCTLBCQX-UHFFFAOYSA-N,bindingdb|pubchem_confirmatory,False,True,,False,1.0
CXTKLJSFJQGFET-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
JMIDETFMZFEBIU-UHFFFAOYSA-N,chembl|pubchem_confirmatory,False,True,,False,1.0
CTORJSYGWMYYMT-FMIVXFBMSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
QCVXKQUVOKEFPR-LVMRBHESSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
UIZWTUZQYPXHKI-FCIKTHLFSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
HKCDEONSLDDVOM-YIGOKMEQSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
ZLBVSEGRTNQHQH-BJHKHANUSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
ZLBVSEGRTNQHQH-UUMVYCCLSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
YUUMDEZEZWRBSZ-SDNWHVSQSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
CFELFOZOBIBTFL-FNORWQNLSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
YILCTIBWASNWOQ-HWGSQVGPSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
IRUYMSJJXUWNNC-HWGSQVGPSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
UUGKYBRZWXZXMI-NZQKXSOJSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
UAFUKXALTWNING-CCWPHWCFSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
ZXYSZYCQSXFBRN-OAQYLSRUSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
ALTLRGQMSDELBI-DBXGMPFESA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
SYYIWIMFBSKKFG-LYRKDJCHSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
BQNAHEIXEFRGPB-LEWOSNPHSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
BQNAHEIXEFRGPB-UKTDVOJESA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
JMHGWNZBVSPKBH-CCEZHUSRSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
NMHOAHFONJFYOW-DHZHZOJOSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
LRLVNQOHFZEBKU-UHFFFAOYSA-N,pubchem_confirmatory,False,True,,False,1.0
HXGCRARCNKEOSY-XYOKQWHBSA-N,pubchem_confirmatory,False,True,,False,1.0
GNIBYTOKZDPDKD-UXBLZVDNSA-N,pubchem_confirmatory,False,True,,False,1.0
QEEXIXLJHPWWKS-VQHVLOKHSA-N,pubchem_confirmatory,False,True,,False,1.0
JFZHZPYWXHCWMV-YRNVUSSQSA-N,pubchem_confirmatory,False,True,,False,1.0
IFBPTVAHWJLMIF-RMKNXTFCSA-N,pubchem_confirmatory,False,True,,False,1.0
AYBWVYWRUDEULL-YRNVUSSQSA-N,pubchem_confirmatory,False,True,,False,1.0
OOTBWNFQBGJGJE-PKNBQFBNSA-N,pubchem_confirmatory,False,True,,False,1.0
XTHXPWUTDREOFX-DHZHZOJOSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
SRORMKWAIMNILD-JXMROGBWSA-N,bindingdb|chembl|pubchem_confirmatory,False,True,,False,1.0
QDWFSZYYBGSFPL-RMKNXTFCSA-N,pubchem_confirmatory,False,True,,False,1.0
