aid,category,layer,endpoint,flags,expected_subdir,actual_path,file_exists,file_bytes,status,n_data_rows,n_columns,has_sid,has_cid,has_smiles,activity_types,verify_note,issues
463073,HTS,HTS,FP_screening,,hts,data/raw/hts/AID_463073_datatable_all.csv,True,173641,PASS,2000,9,True,True,False,Active|Inactive,,
485272,HTS,HTS,FP_screening,,hts,data/raw/hts/AID_485272_datatable_all.csv,True,30382815,PASS,326134,9,True,True,False,Active|Inactive,,
488796,HTS,HTS,Single_conc,,hts,data/raw/hts/AID_488796_datatable_all.csv,True,116395,PASS,1182,10,True,True,False,Active|Inactive,,
492970,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_492970_datatable_all.csv,True,4312,PASS,10,27,True,True,False,Active|Inactive,,
320707,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_320707_datatable_all.csv,True,1518,PASS,3,14,True,True,False,Unspecified,,
1804546,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1804546_datatable_all.csv,True,5869,PASS,26,16,True,True,False,Active|Inactive,,
1804627,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1804627_datatable_all.csv,True,6999,PASS,42,14,True,True,False,Inactive,,
1805620,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1805620_datatable_all.csv,True,22723,PASS,134,16,True,True,False,Active|Inactive,,
1806182,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1806182_datatable_all.csv,True,24890,PASS,136,16,True,True,False,Active|Inactive,,
1806183,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1806183_datatable_all.csv,True,11047,PASS,56,16,True,True,False,Active|Inactive,,
1806764,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1806764_datatable_all.csv,True,15737,PASS,85,16,True,True,False,Active|Inactive,,
1919095,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1919095_datatable_all.csv,True,217239,PASS,1097,14,True,True,False,Active,,
1920200,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1920200_datatable_all.csv,True,68125,PASS,328,14,True,True,False,Active|Inactive,,
1963715,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1963715_datatable_all.csv,True,9964,PASS,49,14,True,True,False,Active,,
2202576,A,A,IC50,VERIFIED_OVERLAP,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2202576_datatable_all.csv,True,14665,PASS,75,16,True,True,False,Active|Unspecified,RFMS1 (75 SIDs) vs RFMS2 2202577 (231 SIDs): 55 SID overlap (23.8%). Keep both AIDs. During dedup: for 55 overlapping SIDs prefer 2202577 (RFMS2).,
2202577,A,A,IC50,VERIFIED_OVERLAP,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2202577_datatable_all.csv,True,42321,PASS,231,16,True,True,False,Active|Unspecified,RFMS2 (231 SIDs): preferred source for 55 SIDs shared with 2202576 (RFMS1).,
2202596,A,A,IC50,VERIFIED_DISTINCT,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2202596_datatable_all.csv,True,118458,PASS,615,14,True,True,False,Active|Inactive,"614 SIDs, 0 overlap with 2202597 — completely distinct compound sets. No dedup needed.",
2202597,A,A,IC50,VERIFIED_DISTINCT,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2202597_datatable_all.csv,True,3988,PASS,18,14,True,True,False,Active,"18 SIDs, 0 overlap with 2202596 — completely distinct compound sets. No dedup needed.",
2202717,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2202717_datatable_all.csv,True,11010,PASS,53,14,True,True,False,Active|Inactive,,
2202442,A,A,IC50,DUAL_LAYER_D,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2202442_datatable_all.csv,True,4914,PASS,23,16,True,True,False,Active|Inactive,,
1330527,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1330527_datatable_all.csv,True,1588,PASS,6,13,True,True,False,Active,,
1471656,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1471656_datatable_all.csv,True,2077,PASS,9,14,True,True,False,Unspecified,,
1474465,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1474465_datatable_all.csv,True,1492,PASS,5,14,True,True,False,Unspecified,,
1474486,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1474486_datatable_all.csv,True,1457,PASS,9,11,True,True,False,Inactive,,
1511938,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1511938_datatable_all.csv,True,569,PASS,1,11,True,True,False,Inactive,,
1632998,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1632998_datatable_all.csv,True,1825,PASS,8,14,True,True,False,Active|Unspecified,,
1651501,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1651501_datatable_all.csv,True,962,PASS,1,13,True,True,False,Active,,
1651502,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1651502_datatable_all.csv,True,963,PASS,1,13,True,True,False,Active,,
1813082,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1813082_datatable_all.csv,True,1087,PASS,2,13,True,True,False,Active,,
1813806,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1813806_datatable_all.csv,True,1832,PASS,6,13,True,True,False,Active,,
1875531,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1875531_datatable_all.csv,True,1839,PASS,6,13,True,True,False,Active,,
1920046,A,A,IC50,DUAL_LAYER_D,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1920046_datatable_all.csv,True,4914,PASS,23,16,True,True,False,Active,,
1973686,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1973686_datatable_all.csv,True,1098,PASS,2,13,True,True,False,Active,,
1993481,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1993481_datatable_all.csv,True,1680,PASS,6,13,True,True,False,Unspecified,,
2006936,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2006936_datatable_all.csv,True,1651,PASS,6,13,True,True,False,Unspecified,,
2034405,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2034405_datatable_all.csv,True,1061,PASS,2,13,True,True,False,Active,,
2034406,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2034406_datatable_all.csv,True,1032,PASS,2,13,True,True,False,Active|Unspecified,,
2034407,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2034407_datatable_all.csv,True,953,PASS,1,13,True,True,False,Active,,
2071731,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2071731_datatable_all.csv,True,6534,PASS,42,13,True,True,False,Active|Unspecified,,
