source,aid,layer,n_input_rows,n_exploded_rows,n_ok,n_no_value,n_unconvertible,n_parse_error,pct_ok,n_use_in_model,median_pic50,min_pic50,max_pic50
pubchem_hts,463073,HTS,2000,2000,2000,0,0,0,100.0,0,,,
pubchem_hts,485272,HTS,326134,326134,326134,0,0,0,100.0,0,,,
pubchem_hts,488796,HTS,1182,1182,1182,0,0,0,100.0,0,,,
pubchem_confirmatory,492970,A,10,10,10,0,0,0,100.0,10,4.393,4.0,5.602
pubchem_confirmatory,320707,A,3,3,3,0,0,0,100.0,0,,,
pubchem_confirmatory,1804546,A,26,26,26,0,0,0,100.0,26,5.062,5.0,6.26
pubchem_confirmatory,1804627,A,42,42,42,0,0,0,100.0,0,,,
pubchem_confirmatory,1805620,A,134,134,134,0,0,0,100.0,134,4.939,4.0,5.824
pubchem_confirmatory,1806182,A,136,136,136,0,0,0,100.0,136,5.062,5.0,6.0
pubchem_confirmatory,1806183,A,56,56,56,0,0,0,100.0,56,5.523,5.0,6.0
pubchem_confirmatory,1806764,A,85,85,85,0,0,0,100.0,85,6.0,5.0,6.0
pubchem_confirmatory,1919095,A,1097,1097,1097,0,0,0,100.0,1097,7.102,5.341,8.301
pubchem_confirmatory,1920200,A,328,328,328,0,0,0,100.0,328,6.936,4.301,7.886
pubchem_confirmatory,1963715,A,49,49,49,0,0,0,100.0,49,7.26,6.747,7.921
pubchem_confirmatory,2202576,A,75,75,75,0,0,0,100.0,75,7.26,6.0,8.0
pubchem_confirmatory,2202577,A,231,231,231,0,0,0,100.0,231,6.523,6.0,7.26
pubchem_confirmatory,2202596,A,615,615,615,0,0,0,100.0,615,6.824,4.641,8.523
pubchem_confirmatory,2202597,A,18,18,18,0,0,0,100.0,18,6.451,5.12,6.747
pubchem_confirmatory,2202717,A,53,53,53,0,0,0,100.0,53,7.328,4.727,8.398
pubchem_confirmatory,2202442,A,23,23,23,0,0,0,100.0,23,6.0,5.0,6.0
pubchem_confirmatory,1330527,A,6,6,6,0,0,0,100.0,6,7.05,6.8,7.4
pubchem_confirmatory,1471656,A,9,9,9,0,0,0,100.0,0,,,
pubchem_confirmatory,1474465,A,5,5,5,0,0,0,100.0,0,,,
pubchem_confirmatory,1474486,A,9,9,0,9,0,0,0.0,0,,,
pubchem_confirmatory,1511938,A,1,1,0,1,0,0,0.0,0,,,
pubchem_confirmatory,1632998,A,8,8,8,0,0,0,100.0,8,4.426,3.889,5.056
pubchem_confirmatory,1651501,A,1,1,1,0,0,0,100.0,1,7.301,7.301,7.301
pubchem_confirmatory,1651502,A,1,1,1,0,0,0,100.0,1,6.602,6.602,6.602
pubchem_confirmatory,1813082,A,2,2,2,0,0,0,100.0,2,5.819,5.638,6.0
pubchem_confirmatory,1813806,A,6,6,6,0,0,0,100.0,6,8.301,8.222,8.301
pubchem_confirmatory,1875531,A,6,6,6,0,0,0,100.0,6,7.709,7.666,7.851
pubchem_confirmatory,1920046,A,23,23,23,0,0,0,100.0,23,7.0,5.26,7.0
pubchem_confirmatory,1973686,A,2,2,2,0,0,0,100.0,2,5.495,5.495,5.495
pubchem_confirmatory,1993481,A,6,6,6,0,0,0,100.0,6,8.0,8.0,8.0
pubchem_confirmatory,2006936,A,6,6,6,0,0,0,100.0,6,8.0,8.0,8.0
