inchi_key_a,inchi_key_b,tanimoto,pic50_a,pic50_b,delta_pic50,cliff_tier,source_combination,patent_exclusive_a,patent_exclusive_b,any_patent_exclusive,ecfp4_only_cliff,tanimoto_ecfp6
SQMOWEPOXGCHIZ-RBQRDFNRSA-N,ZLVSZSJEMVIFLF-HOHLIHCMSA-N,0.81578946,6.0,5.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LNYBKVXRPOOEJJ-XBFAYFNPSA-N,ZLVSZSJEMVIFLF-HOHLIHCMSA-N,0.8552632,6.0,5.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RVOKIGHZRCQGOZ-LJQANCHMSA-N,SEWXINNCHJTBAO-GOSISDBHSA-N,0.9047619,6.0,5.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RVOKIGHZRCQGOZ-LJQANCHMSA-N,UYHSQCNFDDWIFH-GOSISDBHSA-N,0.8030303,6.0,5.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
OUZORNRSCHGAFE-HXUWFJFHSA-N,CTLJIHOSAUFIRC-JOCHJYFZSA-N,0.86567163,5.0,6.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LRHSPELXHQWEIP-HSZRJFAPSA-N,LUMRIELZXDVRKO-HSZRJFAPSA-N,0.85,6.0,5.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LUMRIELZXDVRKO-HSZRJFAPSA-N,VJAGXHWZPQRJCY-LJQANCHMSA-N,0.81578946,5.0,6.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LUMRIELZXDVRKO-HSZRJFAPSA-N,ZRSWZNNDDSCGLH-HSZRJFAPSA-N,0.82051283,5.0,6.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LUMRIELZXDVRKO-HSZRJFAPSA-N,GDWLZYCDEIHKCA-XMMPIXPASA-N,0.8125,5.0,6.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LUMRIELZXDVRKO-HSZRJFAPSA-N,GDYHAHCJTVYMGA-XMMPIXPASA-N,0.85897434,5.0,6.0,1.0,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LLDMHMZGFRKOQO-QREUFCTJSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8235294,6.804100347590766,5.685922008220788,1.1181783393699778,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LLDMHMZGFRKOQO-QREUFCTJSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.8045977,6.804100347590766,5.340844719059372,1.4632556285313942,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
DZODHWMEOAQQHL-CXBZOWBPSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8068182,7.050609993355086,5.685922008220788,1.3646879851342977,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
NFJJITFODSAUIU-STHVYQTBSA-N,DGKJGYNYALJIRF-SGAJGPLNSA-N,0.87234044,6.790484985457369,8.0,1.2095150145426308,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
OZNQTZLWBHLBBZ-QMCAYLGFSA-N,MBPYGFRYQCLAMO-DMTRJYJOSA-N,0.8111111,6.75448733218585,7.920818753952375,1.1663314217665253,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
OZNQTZLWBHLBBZ-QMCAYLGFSA-N,CZZQCTJRWCGYOM-GFXQXFAQSA-N,0.8068182,6.75448733218585,7.769551078621726,1.0150637464358763,broad,bindingdb|chembl|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
XJSJJYHZZXYCGC-BTDDGAACSA-N,BBSMONTWGLJNCJ-XBPDSQQVSA-N,0.8488372,7.443697499232712,6.112945621949042,1.33075187728367,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
CVCAJQMCWJLGGX-QMCAYLGFSA-N,SNMPVJPFNDSUCO-QMCAYLGFSA-N,0.872093,7.455931955649724,6.195179321278839,1.2607526343708857,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
LOLOIBSCCWXELP-CXBZOWBPSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8068182,6.889410289700751,5.685922008220788,1.203488281479963,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
VTXVFGQAOXJREQ-LGYSXGNESA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8045977,6.795880017344075,5.685922008220788,1.1099580091232868,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
GMGYJQUDYAYQCZ-JCHVILAISA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.81609195,6.787812395596042,5.685922008220788,1.1018903873752537,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
GTIYCIRMQMJJHK-CXBZOWBPSA-N,JUXIEDUTQMSFCE-BTDDGAACSA-N,0.8021978,6.774690718274137,7.886056647693163,1.1113659294190263,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
GTIYCIRMQMJJHK-CXBZOWBPSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.81609195,6.774690718274137,5.685922008220788,1.0887687100533485,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
PJRUQHONKKWUMK-CXBZOWBPSA-N,SNMPVJPFNDSUCO-QMCAYLGFSA-N,0.82222223,7.7447274948966935,6.195179321278839,1.549548173617855,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,DYXJONFPYHVUNN-QYHPCCJNSA-N,0.84705883,7.346787486224656,6.318758762624412,1.0280287236002437,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,JPLPPBQBZHFMMU-BYICHJTDSA-N,0.80898875,7.346787486224656,6.025488307262672,1.3212991789619837,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8352941,7.346787486224656,5.685922008220788,1.6608654780038679,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.81609195,7.346787486224656,5.340844719059372,2.0059427671652843,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,0.768595041322314
SNGZWRFTYBDAGE-JCHVILAISA-N,VOBZGOGESGOLJC-PWJCZFGMSA-N,0.83146065,7.346787486224656,6.181774106386044,1.1650133798386122,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,CAWGTIIVOBRWCW-GVBVHUCQSA-N,0.8333333,7.346787486224656,6.248720896016658,1.0980665902079982,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,FEAAPSIVYRPJMS-ZHKUBPBOSA-N,0.8,7.346787486224656,6.268411234813261,1.0783762514113953,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,0.82758623,7.346787486224656,5.8655041441653255,1.4812833420593305,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SNGZWRFTYBDAGE-JCHVILAISA-N,AAUHSICUDJELSM-FWLHTVFYSA-N,0.82758623,7.346787486224656,5.945770090136603,1.4010173960880534,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
AUZJOFVCUZBSHC-QMCAYLGFSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.81609195,7.187086643357144,5.685922008220788,1.5011646351363561,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WMRQVFPYFVIBFY-QZPZUKOXSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8068182,7.337242168318426,5.685922008220788,1.6513201600976375,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WMRQVFPYFVIBFY-QZPZUKOXSA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,0.8,7.337242168318426,5.8655041441653255,1.4717380241531002,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
FHABCUKXEKDJPD-CCWBKVMBSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8,7.113509274827518,5.685922008220788,1.4275872666067295,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
UOSRJFUZIAGZJB-HIGDUGLOSA-N,SNMPVJPFNDSUCO-QMCAYLGFSA-N,0.82954544,7.251811972993799,6.195179321278839,1.0566326517149607,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
TYFKTAFRUSUZDA-CXBZOWBPSA-N,SNMPVJPFNDSUCO-QMCAYLGFSA-N,0.8333333,7.698970004336019,6.195179321278839,1.50379068305718,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
PASDYUANUBWDMP-LCRYKWFRSA-N,SNMPVJPFNDSUCO-QMCAYLGFSA-N,0.8152174,7.267606240177031,6.195179321278839,1.0724269188981923,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
XQTXXZKKQQEXQJ-JOCHJYFZSA-N,VLAXNKASDDXGFU-LJQANCHMSA-N,0.8192771,7.494850021680094,5.239577516576788,2.2552725051033056,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|pubchem_confirmatory,False,False,False,False,0.7758620689655172
XQTXXZKKQQEXQJ-JOCHJYFZSA-N,DCWONHKPZRUFJT-OAQYLSRUSA-N,0.8192771,7.494850021680094,5.029653123769906,2.4651968979101877,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|pubchem_confirmatory,False,False,False,False,0.782608695652174
NEMDWMDVLDSTHO-UCDZCMRKSA-N,SNMPVJPFNDSUCO-QMCAYLGFSA-N,0.8064516,7.301029995663981,6.195179321278839,1.1058506743851426,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
AEGMUFLNOHHCDZ-JCHVILAISA-N,DYXJONFPYHVUNN-QYHPCCJNSA-N,0.8021978,7.522878745280337,6.318758762624412,1.204119982655925,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,OKKNAUCMBJPLKF-ZVHXTAQDSA-N,0.80898875,7.721246399047171,6.718966632752273,1.0022797662948983,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,DYXJONFPYHVUNN-QYHPCCJNSA-N,0.85714287,7.721246399047171,6.318758762624412,1.4024876364227588,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,JPLPPBQBZHFMMU-BYICHJTDSA-N,0.8181818,7.721246399047171,6.025488307262672,1.6957580917844988,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8674699,7.721246399047171,5.685922008220788,2.035324390826383,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,0.8103448275862069
RKLNNGQJROHZOF-GNTVVGMTSA-N,DVTGDRXLJWGNBG-JAEXGXQOSA-N,0.8352941,7.721246399047171,6.510041520575165,1.2112048784720058,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,BJEGYQKJPTWECF-CCWBKVMBSA-N,0.8255814,7.721246399047171,6.330683119433888,1.390563279613283,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
