scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
1,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,174,23,15051,0.00153,0.99847,7.068,7.161,2.659,0.449,1.929,25.854,False
2,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,102,0,5151,0.0,1.0,6.953,6.967,1.96,0.366,1.686,13.219,False
3,O=C(c1ccc2cc(-c3cc4cccc(C5CCNCC5)c4n3CC3CC3)nn2c1)N1CCCCC1,60,3,1770,0.00169,0.99831,6.991,6.979,2.403,0.457,1.856,13.618,False
4,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,58,1,1653,0.0006,0.9994,6.425,6.523,2.0,0.34,1.028,13.692,False
5,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CCCCC1,48,1,1128,0.00089,0.99911,6.454,6.657,2.672,0.759,2.399,13.544,False
6,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,44,0,946,0.0,1.0,7.13,7.079,1.242,0.258,1.285,9.518,False
7,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nn2c1)N1CCCCC1,39,0,741,0.0,1.0,6.412,6.337,1.927,0.425,1.674,8.117,False
8,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,33,0,528,0.0,1.0,7.153,7.26,1.48,0.294,1.467,8.512,False
9,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCCCC6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1,29,0,406,0.0,1.0,7.126,7.155,1.748,0.514,2.803,11.699,True
10,O=C(/C=C/c1cccnc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,28,0,378,0.0,1.0,5.231,4.939,1.669,0.526,1.505,4.627,False
11,O=C(/C=C/c1cncnc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,28,0,378,0.0,1.0,4.666,4.939,1.669,0.504,1.853,7.65,False
12,O=C(/C=C/c1cccnc1)C1C(=O)NC2CCCCC2C1c1ccccc1,27,0,351,0.0,1.0,5.209,4.939,1.669,0.522,1.529,5.219,True
13,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,27,0,351,0.0,1.0,6.965,6.893,1.217,0.316,1.611,8.516,False
14,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3ccccc3)nc2c1)N1CCCCC1,23,0,253,0.0,1.0,5.764,6.0,0.74,0.32,0.992,5.923,False
15,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,22,0,231,0.0,1.0,6.824,6.86,2.087,0.664,2.767,11.259,False
16,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,20,0,190,0.0,1.0,7.034,6.943,0.713,0.236,1.424,5.848,False
17,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5[nH]4)nc3cc21,19,0,171,0.0,1.0,6.195,6.125,1.26,0.316,1.144,6.721,False
18,O=C(/C=C/c1cncnc1)C1C(=O)NC2CCCCC2C1c1ccccc1,18,0,153,0.0,1.0,4.645,4.547,1.669,0.571,1.843,7.703,True
19,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)cc4n3CC3CC3)nn2c1)N1CCCCC1,18,0,153,0.0,1.0,6.732,6.722,1.285,0.416,1.93,8.751,False
20,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1,16,0,120,0.0,1.0,6.855,6.853,0.368,0.114,0.757,2.48,False
21,O=C(c1ccc2cc(-c3cc4cccc(C5CNC5)c4n3CC3CC3)nn2c1)N1CCCCC1,16,0,120,0.0,1.0,6.293,6.281,1.981,0.529,2.463,12.03,False
22,O=C(c1ccc2cc(-c3cc4cccc(C5CN(C(=O)C6CCCCC6)C5)c4n3CC3CC3)nn2c1)N1CCCCC1,16,0,120,0.0,1.0,6.942,7.18,1.527,0.485,3.033,13.745,True
23,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nn2c1)N1CCCCC1,16,0,120,0.0,1.0,6.62,6.63,1.183,0.312,1.384,5.193,False
24,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,16,0,120,0.0,1.0,7.108,7.046,0.764,0.27,1.51,5.767,False
25,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1CCCCC1,15,0,105,0.0,1.0,6.672,6.879,1.506,0.522,3.025,11.58,False
26,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCC6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1,15,2,105,0.01905,0.98095,6.994,7.097,2.657,0.664,3.12,15.665,False
27,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,15,0,105,0.0,1.0,7.329,7.276,1.052,0.304,1.839,8.249,False
28,O=C(c1ccn2cc(-c3cc4ccccc4[nH]3)nc2c1)N1CCCCC1,14,0,91,0.0,1.0,5.805,6.0,1.0,0.354,1.154,6.571,False
29,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)nn2c1)N1CCCCC1,13,0,78,0.0,1.0,6.359,6.446,1.895,0.584,2.225,7.049,False
30,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)nn2c1)N1CC2CCC1C2,12,0,66,0.0,1.0,7.209,7.314,1.501,0.495,1.961,6.227,False
31,c1ccccc1,12,0,66,0.0,1.0,4.067,3.936,3.675,1.258,2.85,5.991,False
32,O=C(CNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1)NCc1ccccc1,12,0,66,0.0,1.0,5.719,5.781,1.104,0.328,2.302,13.244,False
33,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cn[nH]c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,12,1,66,0.01515,0.98485,6.99,7.167,2.631,0.671,2.876,15.458,False
34,O=C(c1ccn2cc(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CCCCC1,12,0,66,0.0,1.0,5.69,5.877,1.0,0.383,1.49,4.442,False
35,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4Cc4ccno4)nc3cc21,11,0,55,0.0,1.0,6.587,6.523,1.135,0.269,1.165,5.673,False
36,O=C(/C=C/c1ccccc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,11,0,55,0.0,1.0,4.569,4.939,0.939,0.428,1.011,3.922,False
37,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6ccnc6)c5n4CC4CC4)nc3cc21,11,0,55,0.0,1.0,7.513,8.0,1.293,0.591,3.424,12.786,False
38,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1[C@H]2CC[C@@H]1CC2,10,1,45,0.02222,0.97778,6.858,7.256,3.173,1.018,2.932,15.224,False
39,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,10,0,45,0.0,1.0,7.11,7.149,0.501,0.149,1.062,2.977,False
40,O=C1CC(COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)CN1,10,0,45,0.0,1.0,7.136,7.13,1.04,0.333,1.54,4.714,False
41,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,10,0,45,0.0,1.0,7.11,7.149,0.501,0.149,1.062,2.977,True
