inchi_key,source_list,n_sources,source_independence_score,is_true_multi_source,multi_source,concordant
PVYJZLYGTZKPJE-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
MQUQNUAYKLCRME-INIZCTEOSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
YYVYAPXYZVYDHN-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
HDXJYJIPXWVRSM-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
XQYZDYMELSJDRZ-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
JOURGLFWVLLAPY-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
AAUANTNCTLBCQX-UHFFFAOYSA-N,bindingdb|pubchem_confirmatory,2,0.5,False,True,True
CXTKLJSFJQGFET-UHFFFAOYSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
JMIDETFMZFEBIU-UHFFFAOYSA-N,chembl|pubchem_confirmatory,2,0.7,True,True,True
CTORJSYGWMYYMT-FMIVXFBMSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
QCVXKQUVOKEFPR-LVMRBHESSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
UIZWTUZQYPXHKI-FCIKTHLFSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
HKCDEONSLDDVOM-YIGOKMEQSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
ZLBVSEGRTNQHQH-BJHKHANUSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
ZLBVSEGRTNQHQH-UUMVYCCLSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,False
YUUMDEZEZWRBSZ-SDNWHVSQSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
CFELFOZOBIBTFL-FNORWQNLSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
YILCTIBWASNWOQ-HWGSQVGPSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
IRUYMSJJXUWNNC-HWGSQVGPSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
UUGKYBRZWXZXMI-NZQKXSOJSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
UAFUKXALTWNING-CCWPHWCFSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
ZXYSZYCQSXFBRN-OAQYLSRUSA-N,bindingdb|chembl|pubchem_confirmatory,3,0.3,False,True,True
