inchi_key,smiles_std,pIC50,pic50_min,pic50_max,n_sources,source_list,source_independence_score,mol_weight,n_heavy_atoms,mechanism_class,is_covalent,warhead_class,hub_class,fragment_flag,high_confidence,multi_source
PVYJZLYGTZKPJE-UHFFFAOYSA-N,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,5.6020599913279625,5.6020599913279625,5.6020599913279625,3,bindingdb|chembl|pubchem_confirmatory,0.3,506.471,37.0,enzymatic,True,enaminone,none,False,True,True
MQUQNUAYKLCRME-INIZCTEOSA-N,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,4.886056647693163,4.886056647693163,4.886056647693163,3,bindingdb|chembl|pubchem_confirmatory,0.3,351.855,23.0,enzymatic,False,,none,False,True,True
YYVYAPXYZVYDHN-UHFFFAOYSA-N,O=C1C(=O)c2ccccc2-c2ccccc21,4.795880017344075,4.795880017344075,4.795880017344075,3,bindingdb|chembl|pubchem_confirmatory,0.3,208.216,16.0,enzymatic,False,,none,False,True,True
HDXJYJIPXWVRSM-UHFFFAOYSA-N,Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2,4.6777807052660805,4.6777807052660805,4.6777807052660805,3,bindingdb|chembl|pubchem_confirmatory,0.3,270.252,20.0,enzymatic,False,,none,False,True,True
XQYZDYMELSJDRZ-UHFFFAOYSA-N,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4.4089353929735005,4.4089353929735005,4.4089353929735005,3,bindingdb|chembl|pubchem_confirmatory,0.3,339.391,25.0,enzymatic,False,,none,False,True,True
JOURGLFWVLLAPY-UHFFFAOYSA-N,COC(=O)c1[nH]c(=O)c2ccccc2c1O,4.376750709602099,4.376750709602099,4.376750709602099,3,bindingdb|chembl|pubchem_confirmatory,0.3,219.196,16.0,enzymatic,False,,none,False,True,True
AAUANTNCTLBCQX-UHFFFAOYSA-N,O=Cc1c(O)c2ccccc2c2ccccc12,4.1249387366083,4.1249387366083,4.1249387366083,2,bindingdb|pubchem_confirmatory,0.5,222.243,17.0,enzymatic,False,,none,False,True,True
CXTKLJSFJQGFET-UHFFFAOYSA-N,CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(Cl)cc2)s1,4.036212172654444,4.036212172654444,4.036212172654444,3,bindingdb|chembl|pubchem_confirmatory,0.3,313.787,19.0,enzymatic,False,,none,False,True,True
JMIDETFMZFEBIU-UHFFFAOYSA-N,O=C1NCC2=C1C(c1ccccc1)Nc1ccccc1N2,4.0,4.0,4.0,2,chembl|pubchem_confirmatory,0.7,277.327,21.0,enzymatic,True,enaminone,none,False,True,True
CTORJSYGWMYYMT-FMIVXFBMSA-N,NNC(=O)/C(=C\c1ccco1)NC(=O)c1ccccc1,4.0,4.0,4.0,3,bindingdb|chembl|pubchem_confirmatory,0.3,271.276,20.0,enzymatic,False,,none,False,True,True
QCVXKQUVOKEFPR-LVMRBHESSA-N,CN(C)C/C=C/C(=O)N[C@@H]1CNC[C@H]1N(C)C(=O)c1ccc2c(c1)nc(-c1cc3cccnc3n1CC1CC1)n2C,5.259637310505756,5.259637310505756,5.259637310505756,3,bindingdb|chembl|pubchem_confirmatory,0.3,554.699,41.0,enzymatic,False,,none,False,True,True
