hub_def,n_hub,descriptor,hub_median,other_median,rank_biserial_r,p,p_fdr
degree>=5,5,MW,605.76,599.7,-0.04,0.898279073812768,0.9980878597919643
degree>=5,5,cLogP,4.53,4.54,-0.13,0.6316658205645933,0.9980878597919643
degree>=5,5,TPSA,120.66,118.33,0.09,0.7302661586794013,0.9980878597919643
degree>=5,5,HBD,1.0,1.5,0.12,0.6132033979731099,0.9980878597919643
degree>=5,5,HBA,7.0,6.0,-0.05,0.8529291368497196,0.9980878597919643
degree>=5,5,RotBonds,7.0,7.0,-0.13,0.6283352163400713,0.9980878597919643
degree>=5,5,ArRings,4.0,4.0,0.08,0.743360040241739,0.9980878597919643
degree>=5,5,FractionCsp3,0.48,0.45,-0.29,0.28330327948652656,0.9980878597919643
degree>=5,5,FormalCharge,0.0,0.0,0.0,1.0,1.0
degree>=5,5,pIC50,4.82,7.22,0.83,0.0018814176982546958,0.01881417698254696
degree>=10,4,MW,608.23,598.71,-0.14,0.6313519435677686,1.0
degree>=10,4,cLogP,4.61,4.54,-0.17,0.5816953656262334,1.0
degree>=10,4,TPSA,124.62,118.33,-0.1,0.7414528814529628,1.0
degree>=10,4,HBD,1.5,1.0,0.02,0.9439757191565677,1.0
degree>=10,4,HBA,7.0,6.0,-0.27,0.33441928588262326,0.9571099842213695
degree>=10,4,RotBonds,8.0,7.0,-0.33,0.2617231882374714,0.9571099842213695
degree>=10,4,ArRings,4.5,4.0,-0.02,0.943555967835925,1.0
degree>=10,4,FractionCsp3,0.46,0.45,-0.26,0.3828439936885478,0.9571099842213695
degree>=10,4,FormalCharge,0.0,0.0,0.0,1.0,1.0
degree>=10,4,pIC50,4.82,7.22,0.8,0.00708883447878518,0.0708883447878518
top20_degree,20,MW,593.23,600.74,0.04,0.7603391774840325,1.0
top20_degree,20,cLogP,4.62,4.54,-0.0,0.9965231102847434,1.0
top20_degree,20,TPSA,124.62,118.33,-0.08,0.5696989048561496,1.0
top20_degree,20,HBD,1.5,1.0,-0.01,0.9685821434157339,1.0
top20_degree,20,HBA,7.0,6.0,-0.14,0.32085410262813674,1.0
top20_degree,20,RotBonds,7.0,7.0,-0.02,0.8755447374553335,1.0
top20_degree,20,ArRings,4.0,4.0,0.03,0.7926317689826274,1.0
top20_degree,20,FractionCsp3,0.45,0.45,-0.03,0.8135725925833639,1.0
top20_degree,20,FormalCharge,0.0,0.0,0.0,1.0,1.0
top20_degree,20,pIC50,6.76,7.25,0.18,0.22071395241629088,1.0
