inchi_key_a,inchi_key_b,tanimoto,delta_pic50,mech_a,mech_b,same_mechanism,hub_involved,hub_class_involved
SNGZWRFTYBDAGE-JCHVILAISA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.81609195,2.0059427671652843,enzymatic,enzymatic,True,True,A
XQTXXZKKQQEXQJ-JOCHJYFZSA-N,VLAXNKASDDXGFU-LJQANCHMSA-N,0.8192771,2.2552725051033056,enzymatic,enzymatic,True,False,none
XQTXXZKKQQEXQJ-JOCHJYFZSA-N,DCWONHKPZRUFJT-OAQYLSRUSA-N,0.8192771,2.4651968979101877,enzymatic,enzymatic,True,False,none
RKLNNGQJROHZOF-GNTVVGMTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8674699,2.035324390826383,enzymatic,enzymatic,True,False,none
RKLNNGQJROHZOF-GNTVVGMTSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.84705883,2.3804016799877994,enzymatic,enzymatic,True,True,A
WQNCRDJMLQSQCQ-UCDZCMRKSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.86206895,2.0359059905427275,enzymatic,enzymatic,True,True,A
TZPKGQDKWPGOGH-VDOBOPNRSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.8068182,2.078648696033741,enzymatic,enzymatic,True,True,A
TZPKGQDKWPGOGH-VDOBOPNRSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.89285713,2.127676363898374,enzymatic,enzymatic,True,True,A
UTKKNIQJEBWKCD-CDNDPLPTSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.8068182,2.154005302620722,enzymatic,enzymatic,True,True,A
BWTBYTFLDISNFI-WFNCXJDMSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.8181818,2.019063006049496,enzymatic,enzymatic,True,True,A
YUHZLTYIGGBRCL-OFKODDFHSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.8181818,2.0419258890090006,enzymatic,enzymatic,True,True,A
HCVYAIQSYNFWFL-MDLALNFGSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.84090906,2.078648696033741,enzymatic,enzymatic,True,True,A
RXOPZPXJRLYRAF-KFACBJOOSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.81609195,2.154005302620722,enzymatic,enzymatic,True,True,A
QUGDJUDQMAHGNQ-AQEANLGOSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.82222223,2.019063006049496,enzymatic,enzymatic,True,True,A
FMNSJJUYYNOGSP-FLVRFYSZSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.80898875,2.078648696033741,enzymatic,enzymatic,True,True,A
WNVSDECEZODUPK-JAEXGXQOSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.872093,2.0916136731981076,enzymatic,enzymatic,True,True,A
FOBNOYWWYUHZGJ-CPWPOOERSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.83908045,2.0680906739141287,enzymatic,enzymatic,True,True,A
PPYDIYQJBOFKJJ-CCWBKVMBSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.83146065,2.2483997770584025,enzymatic,enzymatic,True,True,A
LFPPSFVNBGNNPR-UCDZCMRKSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.89411765,2.200134639472375,enzymatic,enzymatic,True,False,none
LFPPSFVNBGNNPR-UCDZCMRKSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.83146065,2.5452119286337913,enzymatic,enzymatic,True,True,A
LFPPSFVNBGNNPR-UCDZCMRKSA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,0.8021978,2.0205525035278376,enzymatic,enzymatic,True,False,none
CGWRMBYFKYPJSA-RXEARMEOSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.80898875,2.2277915167816404,enzymatic,enzymatic,True,True,A
XCRYSDRGCKTKKK-KFHGAJFOSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.8,2.127676363898374,enzymatic,enzymatic,True,True,A
IOWPZLZDXNUXKG-OFKODDFHSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.84444445,2.178763848917008,enzymatic,enzymatic,True,True,A
SMADULGDNOCLOP-GISFHXKWSA-N,NCNREJRBJOTJAJ-JAEXGXQOSA-N,0.82417583,2.287908318342076,enzymatic,enzymatic,True,True,A
SMADULGDNOCLOP-GISFHXKWSA-N,UNGYPWLQAZQTIO-ZREWPKOVSA-N,0.8426966,2.1187659192417216,enzymatic,enzymatic,True,True,A
SMADULGDNOCLOP-GISFHXKWSA-N,WRHOMFJKHSWYJS-VDOBOPNRSA-N,0.8068182,2.2299163713643892,enzymatic,enzymatic,True,True,A
SMADULGDNOCLOP-GISFHXKWSA-N,GDNYILLQBQRSAV-TWDLTGNASA-N,0.8181818,2.008067621748033,enzymatic,enzymatic,True,True,A
SMADULGDNOCLOP-GISFHXKWSA-N,PJLWBJYOZPZIFT-ZREWPKOVSA-N,0.82417583,2.1187659192417216,enzymatic,enzymatic,True,True,A
SMADULGDNOCLOP-GISFHXKWSA-N,LHCGWKJDICUCEG-KTBVXVCESA-N,0.8333333,2.287908318342076,enzymatic,enzymatic,True,True,A
