inchi_key,smiles_std,pic50_consensus,mechanism_class,is_covalent,fragment_flag,severe_cliff_degree,hub_class
SMADULGDNOCLOP-GISFHXKWSA-N,COc1cc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3n2)c(F)cc1O,5.389872386924004,enzymatic,False,False,15,A
RAVBZQAQTVGKIV-XBPDSQQVSA-N,CCc1cc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3n2)ccc1O,5.340844719059372,enzymatic,False,False,12,A
UDCDEKJNAMHBFH-HSZRJFAPSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(CC5CC5)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,4.301029995663981,enzymatic,False,False,12,B
DVCKJOQIVOGXEI-XMMPIXPASA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(CC5CCC5)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,4.301029995663981,enzymatic,False,False,11,B
DFQZFXZWGBIVAD-CLJLJLNGSA-N,COc1cc(C(=O)N2C[C@H](N)C[C@@H](F)C2)cn2nc(-c3cc4cccc(C5CN(C(C)=O)C5)c4n3CC3CCC3)c(C)c12,4.823908740944319,enzymatic_confirmed,False,False,5,none
JHCOCDUNEWCPDJ-LJQANCHMSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(C(F)F)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,7.0197646112328504,enzymatic,False,False,4,none
YDUZIQDWBSFXRB-GYZOCXDNSA-N,Cc1c(-c2cc3cccc(C4CCN(C(=O)C5CC(O)C5)CC4)c3n2CC2CC2)nn2cc(C(=O)N3C[C@H](N)C[C@@H](F)C3)cc(F)c12,5.0835460514500745,enzymatic_confirmed,False,False,4,none
QGGNDXGZJHUSSA-GOSISDBHSA-N,COc1cc(C(=O)N2CC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(C(F)F)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,4.991399828238082,enzymatic,False,False,4,none
CQWFGKDJGWSGSK-OAQYLSRUSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(C5CC5)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,7.053056729302175,enzymatic,False,False,3,none
VCWHGOPUEXSIAX-JOCHJYFZSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(C(C)C)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,7.22548303427145,enzymatic,False,False,3,none
HDOICFJGKOAPSD-KAYWLYCHSA-N,COC(C)(C)C(=O)N1CCC(c2cccc3cc(-c4nn5cc(C(=O)N6C[C@H](N)C[C@@H](F)C6)cc(F)c5c4C)n(CC4CC4)c23)CC1,5.2958494831602,enzymatic_confirmed,False,False,3,none
LFPPSFVNBGNNPR-UCDZCMRKSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc(C(N)=O)c(O)c5)nc4n3CC3CC3)n(C)c12,7.886056647693163,enzymatic,False,False,3,none
WRHOMFJKHSWYJS-VDOBOPNRSA-N,COc1ccc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3n2)cc1O,7.619788758288394,enzymatic,False,False,2,none
XQTXXZKKQQEXQJ-JOCHJYFZSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(Nc5ccncc5)nc4n3CC3CC3)n(C)c12,7.494850021680094,enzymatic,False,False,2,none
RKLNNGQJROHZOF-GNTVVGMTSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc(O)cc5)nc4n3CC3CC3)n(C)c12,7.721246399047171,enzymatic,False,False,2,none
LHCGWKJDICUCEG-KTBVXVCESA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5cc(C)c(C(N)=O)cc5F)nc4n3CC3CC3)n(C)c12,7.6777807052660805,enzymatic,False,False,2,none
UGYGQLAFRCVHJW-JWJBQAENSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc(C)c(O)c5)nc4n3CC3CC3)n(C)c12,5.685922008220788,enzymatic,False,False,2,none
IQBSSKFAACESCW-HXUWFJFHSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(CC(F)F)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,6.7423214251308154,enzymatic,False,False,2,none
TZPKGQDKWPGOGH-VDOBOPNRSA-N,COc1cc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3n2)ccc1O,7.4685210829577455,enzymatic,False,False,2,none
XMLNOTFMOBYSBU-HXUWFJFHSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(C)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,6.913640169325252,enzymatic,False,False,2,none
KVTKINWILIQXMO-OAQYLSRUSA-N,CCN(c1ccc2cc(-c3nc4cc(C(=O)N5CCC[C@@H](N)C5)cc(OC)c4n3C)n(CC3CC3)c2n1)S(C)(=O)=O,7.104577453960593,enzymatic,False,False,2,none
BGBBWIFRUCEWMS-HXUWFJFHSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(CC(F)(F)F)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,6.500312917381596,enzymatic,False,False,2,none
QYUCTVIPCCLAIZ-JOCHJYFZSA-N,CCN(c1ccc2cc(-c3nc4cc(C(=O)N5CCC[C@@H](N)C5)cc(OC)c4n3C)n(CC3CC3)c2n1)S(=O)(=O)C1CC1,7.086186147616283,enzymatic,False,False,2,none
KYBHPHAXGGSZPB-JOCHJYFZSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(C5CCC5)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,6.866461091629782,enzymatic,False,False,2,none
SCMQIRWIRWDRLV-AREMUKBSSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cc4ccc(N(Cc5ccccc5)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,6.71669877129645,enzymatic,False,False,2,none
INTIBJQLLPOYKV-HSZRJFAPSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cn2nc(-c3cc4ccnc(OCC5COC5)c4n3CC3CC3)c(C)c12,5.131355561605174,enzymatic_confirmed,False,False,2,none
NVKZHLKRHQPQSA-CLJLJLNGSA-N,COCC(=O)N1CCC(c2cccc3cc(-c4nn5cc(C(=O)N6C[C@H](N)C[C@@H](F)C6)cc(F)c5c4C)n(CC4CC4)c23)CC1,7.522878745280337,enzymatic_confirmed,False,False,2,none
KKEPYHNMZDFGFZ-JOCHJYFZSA-N,CCCN(c1ccc2cc(-c3nc4cc(C(=O)N5CCC[C@@H](N)C5)cc(OC)c4n3C)n(CC3CC3)c2n1)S(C)(=O)=O,6.481486060122112,enzymatic,False,False,2,none
NFPBHTVGQPXGFY-NHCUHLMSSA-N,C=CC(=O)N[C@@H]1CNC[C@H]1NC(=O)c1cc(OC)c2c(c1)nc(-c1cc3ccc(N(C(F)F)S(C)(=O)=O)nc3n1CC1CC1)n2C,6.619788758288394,enzymatic,False,False,2,none
IUVPDHXLQQUGMB-DNQXCXABSA-N,COc1cc(C(=O)N[C@@H]2CNC[C@H]2NC(=O)CCCN(C)C)cc2nc(-c3cc4ccc(N(C(F)F)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,4.301029995663981,enzymatic,False,False,2,none
GMZVAQJVBFWSIS-RUZDIDTESA-N,COCC(=O)N1CC(c2cccc3cc(-c4nn5cc(C(=O)N6CCC[C@@H](N)C6)cc(OC)c5c4C)n(CC4CC4)c23)C1,5.31960865506336,enzymatic_confirmed,False,False,2,none
KREMBNXLYXOOPX-CLJLJLNGSA-N,CC(=O)N1CCC(c2cccc3cc(-c4nn5cc(C(=O)N6C[C@H](N)C[C@@H](F)C6)cc(F)c5c4C)n(CC4CC4)c23)CC1,7.698970004336019,enzymatic_confirmed,False,False,2,none
CSIRJPXUQDSYOW-HHHXNRCGSA-N,COCC(=O)N1CCC(c2cccc3cc(-c4nn5cc(C(=O)N6CCC[C@@H](N)C6)cc(OC)c5c4C)n(CC4CC4)c23)CC1,7.698970004336019,enzymatic_confirmed,False,False,2,none
SIQFSMORDDWOQU-AREMUKBSSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cn2nc(-c3cc4cccc(C5CN(C(C)=O)C5)c4n3CC3CCC3)c(C)c12,5.2182446253475305,enzymatic_confirmed,False,False,2,none
SNGZWRFTYBDAGE-JCHVILAISA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc(C(N)=O)cc5)nc4n3CC3CC3)n(C)c12,7.346787486224656,enzymatic,False,False,1,none
UXUIFFMVADUAON-CXBZOWBPSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(N5CC6(CCS6(=O)=O)C5)cc4n3CC3CC3)n(C)c12,8.221848749616356,enzymatic,False,False,1,none
PJLWBJYOZPZIFT-ZREWPKOVSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5cc(Cl)c(C(N)=O)cc5F)nc4n3CC3CC3)n(C)c12,7.508638306165726,enzymatic,False,False,1,none
GDNYILLQBQRSAV-TWDLTGNASA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc(O)c(C)c5C)nc4n3CC3CC3)n(C)c12,7.3979400086720375,enzymatic,False,False,1,none
JLGGAYUHFPLCCK-IKXBFRDRSA-N,COc1cc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3n2)ccc1CC(N)=O,5.8655041441653255,enzymatic,False,False,1,none
BCZPEKVMAZSURM-GNTVVGMTSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5cnn(CC(C)(C)O)c5)nc4n3CC3CC3)n(C)c12,5.4146520889054095,enzymatic,False,False,1,none
YBRYCMKAKUNWFO-LTFVAXTNSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(N5CC6(CCS6(=O)=O)C5)nc4n3CC3CC3)n(C)c12,5.870632404277014,enzymatic,False,False,1,none
XZEQIKBQYLFCFP-OFKODDFHSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5cc(O)c(Cl)cc5F)nc4n3CC3CC3)n(C)c12,5.653255945395151,enzymatic,False,False,1,none
