inchi_key_a,inchi_key_b,shared_core,n_shared_cores,delta_pic50,tanimoto,cliff_tier,mmp_large_delta,hub_a,hub_b,mmp_type,is_canonical_severe_cliff
SNGZWRFTYBDAGE-JCHVILAISA-N,RKLNNGQJROHZOF-GNTVVGMTSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,3,0.3744589128225151,0.8888888955116272,non_cliff,False,False,False,small_substituent,False
SNGZWRFTYBDAGE-JCHVILAISA-N,WQNCRDJMLQSQCQ-UCDZCMRKSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.0299632233774431,0.8160919547080994,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,TZPKGQDKWPGOGH-VDOBOPNRSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.1217335967330894,0.8452380895614624,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,UTKKNIQJEBWKCD-CDNDPLPTSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,3,0.1480625354554376,0.8674699068069458,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,BWTBYTFLDISNFI-WFNCXJDMSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.0621479067488444,0.8139534592628479,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,YUHZLTYIGGBRCL-OFKODDFHSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.0850107897083489,0.7727272510528564,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,WNVSDECEZODUPK-JAEXGXQOSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.134698573897456,0.7640449404716492,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,FOBNOYWWYUHZGJ-CPWPOOERSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.0621479067488444,0.8352941274642944,non_cliff,False,False,False,small_substituent,False
SNGZWRFTYBDAGE-JCHVILAISA-N,PPYDIYQJBOFKJJ-CCWBKVMBSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.2914846777577509,0.8275862336158752,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,LFPPSFVNBGNNPR-UCDZCMRKSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.539269161468507,0.8488371968269348,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,CGWRMBYFKYPJSA-RXEARMEOSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.2218487496163561,0.8255813717842102,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,SMADULGDNOCLOP-GISFHXKWSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,1.956915099300652,0.7555555701255798,non_cliff,False,False,True,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,UNGYPWLQAZQTIO-ZREWPKOVSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.1618508199410699,0.7777777910232544,non_cliff,False,False,False,small_substituent,False
SNGZWRFTYBDAGE-JCHVILAISA-N,MRNJWOMRYSTQPG-LCRYKWFRSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.009759837289156,0.7954545617103577,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,WRHOMFJKHSWYJS-VDOBOPNRSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.2730012720637376,0.8452380895614624,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,1.660865478003868,0.8352941274642944,moderate,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,XZEQIKBQYLFCFP-OFKODDFHSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,1.6935315408295049,0.7311828136444092,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,NXLODQYXKFLXEG-BTDDGAACSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.6989700043360187,0.7446808218955994,non_cliff,False,False,False,small_substituent,False
SNGZWRFTYBDAGE-JCHVILAISA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,2.0059427671652843,0.8160919547080994,severe,True,False,True,single_atom_change,True
SNGZWRFTYBDAGE-JCHVILAISA-N,BCZPEKVMAZSURM-GNTVVGMTSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,1.9321353973192463,0.760869562625885,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,YBRYCMKAKUNWFO-LTFVAXTNSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,1.476155081947642,0.6770833134651184,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,1.4812833420593303,0.8275862336158752,broad,False,False,False,small_substituent,False
SNGZWRFTYBDAGE-JCHVILAISA-N,GDNYILLQBQRSAV-TWDLTGNASA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.0511525224473814,0.7727272510528564,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,UXUIFFMVADUAON-CXBZOWBPSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,1,0.8750612633917001,0.6100000143051147,non_cliff,False,False,False,single_atom_change,False
SNGZWRFTYBDAGE-JCHVILAISA-N,LHCGWKJDICUCEG-KTBVXVCESA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.3309932190414244,0.7888888716697693,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,WQNCRDJMLQSQCQ-UCDZCMRKSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.3444956894450719,0.8470588326454163,non_cliff,False,False,False,single_atom_change,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,TZPKGQDKWPGOGH-VDOBOPNRSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.2527253160894256,0.8780487775802612,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,UTKKNIQJEBWKCD-CDNDPLPTSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,3,0.2263963773670774,0.8780487775802612,non_cliff,False,False,False,single_atom_change,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,BWTBYTFLDISNFI-WFNCXJDMSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.3123110060736707,0.8452380895614624,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,YUHZLTYIGGBRCL-OFKODDFHSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.2894481231141661,0.8235294222831726,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,WNVSDECEZODUPK-JAEXGXQOSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.2397603389250591,0.8352941274642944,non_cliff,False,False,False,single_atom_change,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,FOBNOYWWYUHZGJ-CPWPOOERSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.3123110060736707,0.9135802388191224,non_cliff,False,False,False,medium_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,PPYDIYQJBOFKJJ-CCWBKVMBSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.0829742350647642,0.7555555701255798,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,LFPPSFVNBGNNPR-UCDZCMRKSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.1648102486459919,0.8372092843055725,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,CGWRMBYFKYPJSA-RXEARMEOSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.1526101632061589,0.8352941274642944,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,2.3313740121231668,0.7840909361839294,non_cliff,True,False,True,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,UNGYPWLQAZQTIO-ZREWPKOVSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.2126080928814451,0.7472527623176575,non_cliff,False,False,False,medium_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,MRNJWOMRYSTQPG-LCRYKWFRSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.364699075533359,0.8255813717842102,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,WRHOMFJKHSWYJS-VDOBOPNRSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,0.1014576407587775,0.8780487775802612,non_cliff,False,False,False,small_substituent,False
RKLNNGQJROHZOF-GNTVVGMTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,2.035324390826383,0.8674699068069458,severe,True,False,False,single_atom_change,True
RKLNNGQJROHZOF-GNTVVGMTSA-N,XZEQIKBQYLFCFP-OFKODDFHSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc([*:1])n(C)c12,2,2.06799045365202,0.7582417726516724,non_cliff,True,False,False,small_substituent,False
