inchi_key_a,inchi_key_b,delta_pic50,tanimoto,n_atoms_changed,tags
LIWXHHMEQAPAGZ,WDRJLORLDTWTEV,3.044793462458058,0.800000011920929,5,heteroatom_change|medium_substituent
VCWHGOPUEXSIAX,DVCKJOQIVOGXEI,2.924453038607469,0.8181818127632141,6,ring_modification|medium_substituent|carbon_only
VCWHGOPUEXSIAX,UDCDEKJNAMHBFH,2.924453038607469,0.8372092843055725,5,ring_modification|medium_substituent|carbon_only
BEYKKJIYABIPQW,PEMSBPMDBFZNNE,2.8143634230380883,0.8235294222831726,28,heteroatom_change|aromatic_change|ring_modification|large_substituent
KVTKINWILIQXMO,DVCKJOQIVOGXEI,2.803547458296612,0.8823529481887817,5,ring_modification|medium_substituent|carbon_only
KVTKINWILIQXMO,UDCDEKJNAMHBFH,2.803547458296612,0.9036144614219666,4,ring_modification|small_substituent|carbon_only
DVCKJOQIVOGXEI,QYUCTVIPCCLAIZ,2.785156151952302,0.800000011920929,9,ring_modification|large_substituent|carbon_only
UDCDEKJNAMHBFH,QYUCTVIPCCLAIZ,2.785156151952302,0.8181818127632141,8,ring_modification|medium_substituent|carbon_only
CQWFGKDJGWSGSK,DVCKJOQIVOGXEI,2.7520267336381936,0.8181818127632141,8,ring_modification|medium_substituent|carbon_only
CQWFGKDJGWSGSK,UDCDEKJNAMHBFH,2.7520267336381936,0.8372092843055725,7,ring_modification|medium_substituent|carbon_only
JHCOCDUNEWCPDJ,DVCKJOQIVOGXEI,2.718734615568869,0.800000011920929,6,halogen_change|ring_modification|medium_substituent
JHCOCDUNEWCPDJ,UDCDEKJNAMHBFH,2.718734615568869,0.8181818127632141,5,halogen_change|ring_modification|medium_substituent
NXLODQYXKFLXEG,BCZPEKVMAZSURM,2.6311054016552653,0.8297872543334961,5,heteroatom_change|medium_substituent
YDUZIQDWBSFXRB,KREMBNXLYXOOPX,2.615423952885944,0.8536585569381714,6,heteroatom_change|ring_modification|medium_substituent
XMLNOTFMOBYSBU,UDCDEKJNAMHBFH,2.6126101736612704,0.8571428656578064,3,ring_modification|small_substituent|carbon_only
XMLNOTFMOBYSBU,DVCKJOQIVOGXEI,2.6126101736612704,0.8372092843055725,4,ring_modification|small_substituent|carbon_only
DFQZFXZWGBIVAD,KVMPLKNGFPPJEW,2.574031267727719,0.8160919547080994,13,heteroatom_change|ring_modification|large_substituent
INTIBJQLLPOYKV,VRWQITKRSFXCGO,2.5676144427308447,0.8068181872367859,10,heteroatom_change|aromatic_change|ring_modification|large_substituent
KYBHPHAXGGSZPB,UDCDEKJNAMHBFH,2.565431095965801,0.8372092843055725,8,ring_modification|medium_substituent|carbon_only
KYBHPHAXGGSZPB,DVCKJOQIVOGXEI,2.565431095965801,0.8390804529190063,9,ring_modification|large_substituent|carbon_only
LFPPSFVNBGNNPR,RAVBZQAQTVGKIV,2.5452119286337918,0.8314606547355652,7,heteroatom_change|medium_substituent
KVMPLKNGFPPJEW,DFQZFXZWGBIVAD,2.485985638199878,0.8160919547080994,13,heteroatom_change|ring_modification|large_substituent
BVUMJIRBLWLPNT,UDCDEKJNAMHBFH,2.484126156288321,0.8045976758003235,4,ring_modification|small_substituent|carbon_only
SIQFSMORDDWOQU,CSIRJPXUQDSYOW,2.480725378988488,0.800000011920929,21,heteroatom_change|ring_modification|large_substituent
DFQZFXZWGBIVAD,CQGWPDDLIRVUCO,2.4771212547196626,0.8352941274642944,7,heteroatom_change|ring_modification|medium_substituent
