source,aid,layer,n_input,n_ok,n_parse_fail,n_sanitize_fail,n_no_smiles,pct_ok,median_heavy_atoms
pubchem_hts,463073,HTS,2000,2000,0,0,0,100.0,22.0
pubchem_hts,485272,HTS,326134,326134,0,0,0,100.0,25.0
pubchem_hts,488796,HTS,1182,1182,0,0,0,100.0,24.0
pubchem_confirmatory,492970,A,10,10,0,0,0,100.0,20.0
pubchem_confirmatory,320707,A,3,3,0,0,0,100.0,33.0
pubchem_confirmatory,1804546,A,26,26,0,0,0,100.0,41.0
pubchem_confirmatory,1804627,A,42,42,0,0,0,100.0,25.0
pubchem_confirmatory,1805620,A,134,134,0,0,0,100.0,28.0
pubchem_confirmatory,1806182,A,136,136,0,0,0,100.0,35.0
pubchem_confirmatory,1806183,A,56,56,0,0,0,100.0,35.5
pubchem_confirmatory,1806764,A,85,85,0,0,0,100.0,35.0
pubchem_confirmatory,1919095,A,1097,1097,0,0,0,100.0,45.0
pubchem_confirmatory,1920200,A,328,328,0,0,0,100.0,46.0
pubchem_confirmatory,1963715,A,49,49,0,0,0,100.0,40.0
pubchem_confirmatory,2202576,A,75,75,0,0,0,100.0,41.0
pubchem_confirmatory,2202577,A,231,231,0,0,0,100.0,37.0
pubchem_confirmatory,2202596,A,615,615,0,0,0,100.0,43.0
pubchem_confirmatory,2202597,A,18,18,0,0,0,100.0,39.0
pubchem_confirmatory,2202717,A,53,53,0,0,0,100.0,46.0
pubchem_confirmatory,2202442,A,23,23,0,0,0,100.0,36.0
pubchem_confirmatory,1330527,A,6,6,0,0,0,100.0,33.5
pubchem_confirmatory,1471656,A,9,9,0,0,0,100.0,25.0
pubchem_confirmatory,1474465,A,5,5,0,0,0,100.0,16.0
pubchem_confirmatory,1474486,A,9,9,0,0,0,100.0,17.0
pubchem_confirmatory,1511938,A,1,1,0,0,0,100.0,27.0
pubchem_confirmatory,1632998,A,8,8,0,0,0,100.0,24.0
pubchem_confirmatory,1651501,A,1,1,0,0,0,100.0,35.0
pubchem_confirmatory,1651502,A,1,1,0,0,0,100.0,35.0
pubchem_confirmatory,1813082,A,2,2,0,0,0,100.0,33.0
pubchem_confirmatory,1813806,A,6,6,0,0,0,100.0,48.0
pubchem_confirmatory,1875531,A,6,6,0,0,0,100.0,46.0
pubchem_confirmatory,1920046,A,23,23,0,0,0,100.0,36.0
pubchem_confirmatory,1973686,A,2,2,0,0,0,100.0,32.0
pubchem_confirmatory,1993481,A,6,6,0,0,0,100.0,41.0
pubchem_confirmatory,2006936,A,6,6,0,0,0,100.0,41.0
pubchem_confirmatory,2034405,A,2,2,0,0,0,100.0,30.0
pubchem_confirmatory,2034406,A,2,2,0,0,0,100.0,21.0
pubchem_confirmatory,2034407,A,1,1,0,0,0,100.0,31.0
pubchem_confirmatory,2071731,A,42,42,0,0,0,100.0,41.0
pubchem_confirmatory,2134413,A,9,9,0,0,0,100.0,32.0
pubchem_confirmatory,2200614,A,1,1,0,0,0,100.0,35.0
pubchem_confirmatory,1422897,A,5,5,0,0,0,100.0,23.0
pubchem_confirmatory,725673,A,1,1,0,0,0,100.0,21.0
pubchem_confirmatory,725596,A,13,13,0,0,0,100.0,21.0
pubchem_confirmatory,725597,A,13,13,0,0,0,100.0,21.0
pubchem_confirmatory,725598,A,8,8,0,0,0,100.0,20.5
pubchem_confirmatory,1196525,A,8,8,0,0,0,100.0,28.0
pubchem_confirmatory,1069613,A,2,2,0,0,0,100.0,19.0
pubchem_confirmatory,1069619,A,6,6,0,0,0,100.0,17.0
pubchem_confirmatory,1069623,A,32,32,0,0,0,100.0,21.5
pubchem_confirmatory,627371,A,22,22,0,0,0,100.0,21.0
pubchem_confirmatory,627428,A,4,4,0,0,0,100.0,22.5
pubchem_confirmatory,627432,A,4,4,0,0,0,100.0,22.5
pubchem_confirmatory,626724,A,2,2,0,0,0,100.0,24.0
pubchem_confirmatory,626728,A,2,2,0,0,0,100.0,24.0
pubchem_confirmatory,1069614,A,1,1,0,0,0,100.0,22.0
pubchem_confirmatory,1069618,A,5,5,0,0,0,100.0,15.0
pubchem_confirmatory,588488,A,136,136,0,0,0,100.0,23.5
pubchem_confirmatory,588559,A,30,30,0,0,0,100.0,21.0
pubchem_confirmatory,588560,A,102,102,0,0,0,100.0,20.0
pubchem_literature_derived,626735,C,1,1,0,0,0,100.0,24.0
pubchem_literature_derived,626738,C,1,1,0,0,0,100.0,24.0
pubchem_literature_derived,712876,C,11,11,0,0,0,100.0,21.0
pubchem_literature_derived,725671,C,4,4,0,0,0,100.0,16.5
pubchem_literature_derived,1069608,C,5,5,0,0,0,100.0,15.0
pubchem_literature_derived,1196521,C,1,1,0,0,0,100.0,26.0
pubchem_literature_derived,1364668,C,4,4,0,0,0,100.0,27.0
pubchem_literature_derived,1422898,C,8,8,0,0,0,100.0,24.0
pubchem_literature_derived,1422904,C,1,1,0,0,0,100.0,21.0
pubchem_literature_derived,2076402,C,1,1,0,0,0,100.0,24.0
pubchem_literature_derived,651867,C,1,1,0,0,0,100.0,22.0
pubchem_secondary,2041348,D,1,1,0,0,0,100.0,30.0
pubchem_secondary,2041349,D,1,1,0,0,0,100.0,35.0
pubchem_secondary,2053867,D,1,1,0,0,0,100.0,30.0
pubchem_secondary,2053915,D,1,1,0,0,0,100.0,35.0
pubchem_secondary,2053917,D,1,1,0,0,0,100.0,35.0
pubchem_secondary,2193457,D,1,1,0,0,0,100.0,21.0
pubchem_secondary,1625405,D,1,1,0,0,0,100.0,35.0
pubchem_secondary,1806765,D,29,29,0,0,0,100.0,35.0
pubchem_secondary,1069597,D,3,3,0,0,0,100.0,22.0
pubchem_secondary,1069598,D,3,3,0,0,0,100.0,22.0
pubchem_secondary,1069599,D,3,3,0,0,0,100.0,22.0
pubchem_secondary,1069600,D,3,3,0,0,0,100.0,22.0
pubchem_secondary,1069601,D,3,3,0,0,0,100.0,22.0
pubchem_secondary,1069604,D,3,3,0,0,0,100.0,22.0
pubchem_secondary,1069605,D,1,1,0,0,0,100.0,19.0
pubchem_secondary,1069606,D,3,3,0,0,0,100.0,22.0
pubchem_secondary,588487,D,316,316,0,0,0,100.0,24.0
pubchem_secondary,651627,D,6,6,0,0,0,100.0,17.0
pubchem_secondary,1346144,D,3,3,0,0,0,100.0,24.0
pubchem_secondary,2039667,E,1,1,0,0,0,100.0,30.0
pubchem_secondary,2053916,E,1,1,0,0,0,100.0,35.0
pubchem_secondary,627442,E,2,2,0,0,0,100.0,24.0
pubchem_secondary,627443,E,2,2,0,0,0,100.0,24.0
pubchem_secondary,1422917,E,2,2,0,0,0,100.0,23.5
chembl,CHEMBL6111,chembl,4925,4919,0,0,6,99.9,44.0
bindingdb,Q9UM07,bindingdb,3087,3087,0,0,0,100.0,43.0
