pipeline_stage,count
Raw measurement rows ingested,341282
Rows standardized OK,341276
Rows dropped: NO_SMILES,6
Rows dropped: parse/sanitize failures,0
Secondary dual-layer rows excluded (AID 1920046/2202442),46
Unique InChIKeys (all layers),328976
Normalization OK (valid endpoint),338021
"No numeric value (flagged, excluded from potency)",3155
Unconvertible units (flagged),106
Qualifying dose-response measurements,7319
Structure-less ChEMBL compounds excluded,2
FINAL dose-response compounds,3093
HTS-space unique compounds,327336
Severe activity-cliff pairs,94
Activity conflicts (discordant compounds),0
