scaffold_rank,scaffold_smiles,n_compounds,mean_pic50,std_pic50,pic50_range,n_patent_compounds,contains_patent,patent_exclusive_scaffold,representative_inchikey,representative_smiles,representative_pic50,representative_mw,scaffold_family,scaffold_class,reasoning,annotation_confidence
1,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,174,7.068,0.449,2.659,0,False,False,DGKJGYNYALJIRF-SGAJGPLNSA-N,C=CS(=O)(=O)Nc1cccc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3n2)c1,8.0,651.8,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine by SMARTS; N-cyclopropylmethyl azaindole; azabicyclic N-amide; dominant series n=174,0.97
2,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,102,6.953,0.366,1.96,0,False,False,OCPMHWRNFZJGHC-FGZHOGPDSA-N,COc1cc(C(=O)N2C[C@H](N)C[C@@H](F)C2)cc2nc(-c3cc4ccc(-c5cccc(O)c5C#N)nc4n3CC3CC3)n(C)c12,7.77,593.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; piperidyl N-amide; same biaryl core as rank 1; n=102,0.97
3,O=C(c1ccc2cc(-c3cc4cccc(C5CCNCC5)c4n3CC3CC3)nn2c1)N1CCCCC1,60,6.991,0.457,2.403,0,False,False,AAJRSBOTZBWOPW-GDLZYMKVSA-N,Cc1c(-c2cc3cc(F)cc(C4CCN(C(=O)CC(C)C)CC4)c3n2CC2CC2)nn2cc(C(=O)N3CCC[C@@H](N)C3)ccc12,7.699,612.8,indazole-N-alkylindole biaryl amide derivatives,biaryl_heteroaromatic,indazole (nn-fused benzene left) + N-cyclopropylmethylindole (right); piperidyl amide+pendant; SMARTS: indole_Nalk,0.93
4,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,58,6.425,0.34,2.0,0,False,False,DQYBRNLGMWOIAD-UHFFFAOYSA-N,COC(=O)N(C)CCOc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(CC(N)CF)C5=O)n(CC3CC3)c12,8.0,576.7,benzimidazolyl-dihydroisoquinolinone derivatives,tricyclic_lactam,"benzimidazole_NH + dihydroisoquinolinone lactam (6,5,6 tricycle left) + N-alkylindole right; SMARTS: BIM+indole_Nalk+oxindole+lactam",0.92
5,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CCCCC1,48,6.454,0.759,2.672,0,False,False,WPPGVUDJTWDNTC-WOJBJXKFSA-N,COc1cc(C(=O)N2C[C@H](N)C[C@@H](F)C2)cc2nc(-c3cc4ccc(C(O)(CF)CF)nc4n3CC3CC3)n(C)c12,7.569,570.6,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; 4-azaindole N-position variant vs rank 1; piperidyl amide,0.95
6,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,44,7.13,0.258,1.242,0,False,False,ZZXHCVIIEJEFMW-ABNDPDSASA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5cc(F)c(C(N)=O)c(F)c5)cc4n3CC3CC3)n(C)c12,7.959,624.7,indole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,"benzimidazole_NH + N-alkylindole (carbocyclic 6-ring, no pyridine N); 5-phenyl; azabicyclic N-amide; indole not azaindole on right",0.93
7,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nn2c1)N1CCCCC1,39,6.412,0.425,1.927,0,False,False,INHPRRFHIJVIBF-KAYWLYCHSA-N,Cc1c(-c2cc3ccc(-c4ccc(NS(C)(=O)=O)cc4)cc3n2CC2CC2)nn2cc(C(=O)N3C[C@H](N)C[C@@H](F)C3)ccc12,7.699,614.7,indazole-N-alkylindole biaryl amide derivatives,biaryl_heteroaromatic,indazole left + N-cyclopropylmethylindole 5-phenyl right; same chemotype as rank 3 without piperidyl pendant,0.92
8,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,33,7.153,0.294,1.48,0,False,False,KPILPQIIGPWCIY-CCWBKVMBSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc(C(N)=O)nc5C)nc4n3CC3CC3)n(C)c12,7.921,604.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; pyridyl substituent on azaindole vs phenyl in rank 1; azabicyclic N-amide,0.95
9,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCCCC6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1,29,7.126,0.514,1.748,9,True,False,NAXPVOYEAMEMAE-JTYXWRCWSA-N,Cc1c(-c2cc3cccc(C4CCN(C(=O)C5CCC(O)CC5)CC4)c3n2CC2CC2)nn2cc(C(=O)N3C[C@H](N)C[C@@H](F)C3)ccc12,8.0,654.8,indazole-N-alkylindole biaryl amide derivatives,biaryl_heteroaromatic,indazole left + N-alkylindole right; piperidyl-cyclohexanamide pendant on indole ring; piperidyl amide,0.88
10,O=C(/C=C/c1cncnc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,28,4.666,0.504,1.669,0,False,False,HTGQZAUTISWGMG-RMKNXTFCSA-N,O=C(/C=C/c1cncnc1)c1c(-c2ccccc2)c2ccc(F)cc2[nH]c1=O,5.824,371.4,chalcone-oxindole derivatives,enone_warhead,SMARTS: chalcone_enone confirmed; pyrimidine aryl; 3-phenyloxindole core left; alpha-beta-unsaturated Michael acceptor warhead,0.95
