PAD4-DB v2 — MASTER VERIFICATION TABLE (Post-Correction)
Generated: 2026-06-15T12:26:12.138154

METRIC                                                            CLAIMED              ACTUAL               STATUS
--------------------------------------------------------------------------------------------------------------
Standardized rows (ingested)                                      341282               341282               PASS
Normalized rows                                                   341282               341282               PASS
replicate_aggregated rows                                         339687               339687               PASS
potency_space rows                                                7319                 7319                 PASS
dedup_aid_level rows                                              7214                 7214                 PASS
use_in_potency_model=True (normalized)                            7815                 7815                 PASS
replicate_aggregated use_in_potency=True                          7319                 7319                 PASS
Unique AIDs                                                       95                   95                   PASS
pIC50 min                                                         2.0                  2.0                  PASS
pIC50 max                                                         8.52                 8.52                 PASS
UNCONVERTIBLE_UNITS rows                                          106                  106                  PASS
Malformed InChIKeys                                               0                    0                    PASS
RFMS SID overlap dropped                                          55                   55                   PASS
Multi-replicate groups (corrected)                                450                  450                  PASS
Final compound count                                              3093                 3093                 PASS
Duplicate InChIKeys                                               0                    0                    PASS
HTS compound count                                                327336               327336               PASS
SAR+HTS overlap                                                   1453                 1453                 PASS
Total unique IKs (union)                                          328976               328976               PASS
Source list breakdown                                             True                 True                 PASS
Severe cliff pairs                                                94                   94                   PASS
Moderate cliff pairs                                              193                  193                  PASS
Broad cliff pairs                                                 580                  580                  PASS
Total pairs sim>=0.6                                              358416               358416               PASS
Compounds in severe cliffs                                        99                   99                   PASS
Max delta_pIC50 cliff pairs                                       3.045                3.045                PASS
Max delta_pIC50 all pairs                                         3.228                3.228                PASS
Hub A cliff pairs (corrected)                                     14                   14                   PASS
Hub B cliff pairs (corrected)                                     13                   13                   PASS
Unique scaffolds                                                  1244                 1244                 PASS
Series scaffolds (>=2)                                            375                  375                  PASS
Largest scaffold series                                           174                  174                  PASS
Patent-exclusive compounds                                        233                  233                  PASS
Patent compounds in severe cliffs                                 1                    1                    PASS
score>=0.6                                                        528                  528                  PASS
score<0.6                                                         2565                 2565                 PASS
is_true_multi_source=True (threshold 0.7)                         361                  361                  PASS
pIC50 floor compounds % (<5%)                                     <5%                  0.19%                PASS
Duplicate SMILES                                                  0                    0                    PASS
Dual-layer excluded secondary rows                                46                   46                   PASS
Orphan IKs (corrected: NaN bug)                                   0                    0                    PASS
Low MW compounds classified (MW<150)                              2                    2                    PASS
Reference pIC50 Streptonigrin                                     5.602                5.602                PASS
Reference pIC50 Cl-amidine                                        5.219                5.219                PASS
Reference pIC50 F-Amidine                                         4.571                4.571                PASS
Reference pIC50 GSK484                                            7.049                7.049                PASS
Reference pIC50 TDFA                                              5.638                5.638                PASS
Reference pIC50 BMS-P5                                            7.009                7.009                PASS
Reference pIC50 JBI-589                                           6.0                  6.0                  PASS

TOTALS: 49 PASS  /  0 FAIL  /  49 total

AUDIT COMPLETE — ALL CHECKS PASSED
