inchi_key,canonical_smiles,consensus_pic50,n_assays,max_cross_assay_delta,scaffold_smiles,mechanism_class,warhead_class
PODBEFGDRZBSHE-MRXNPFEDSA-N,COc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@@H](C)N)C5=O)n(CC3CC3)c12,7.259637310505756,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
SQYFPVANJLVEPE-OAQYLSRUSA-N,Cn1c(-c2cc3cccc(OCc4ccn[nH]4)c3n2CC2CC2)nc2cc3c(cc21)CCN(C[C@H](N)CF)C3=O,7.259637310505756,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCc6ccn[nH]6)c5n4CC4CC4)nc3cc21,enzymatic_confirmed,
FRVOCAPBOGPYLW-JOCHJYFZSA-N,Cn1c(-c2cc3cccc(OCCn4cnnc4)c3n2CC2CC2)nc2cc3c(cc21)CCN(C[C@H](N)CF)C3=O,7.259637310505756,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6cnnc6)c5n4CC4CC4)nc3cc21,enzymatic_confirmed,
NJSZICRJHDQNCG-QGZVFWFLSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2cc(-c3cc4cccnc4n3C)n(N)c12,6.698970004336019,2,0.0,O=C(c1ccc2[nH]c(-c3cc4cccnc4[nH]3)cc2c1)N1CCCCC1,enzymatic,
AUBUZFRPOSSOJN-HXUWFJFHSA-N,Cc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@H](N)CF)C5=O)n(CC3CC3)c12,6.522878745280337,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
JMBGSAUQXKEKNL-SMTUWPOXSA-N,COCCN1c2c(cccc2OC)CC1c1nc2c(n1C)=CC1CCN(C[C@H](N)CF)C(=O)C1C=2,6.522878745280337,2,0.0,O=C1NCCC2C=c3[nH]c(C4Cc5ccccc5N4)nc3=CC12,enzymatic_confirmed,
ZBWXTEXNMKRCOJ-QFIPXVFZSA-N,Cn1c(-c2cc3ccccc3n2CC2CC2)nc2cc3c(cc21)CCN(C[C@H](N)C1CC1)C3=O,6.522878745280337,2,0.0,O=C1c2cc3nc(-c4cc5ccccc5n4CC4CC4)[nH]c3cc2CCN1CCC1CC1,enzymatic_confirmed,
PXSNJFXUFTUJNH-GOSISDBHSA-N,COc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@H](N)CF)C5=O)n(Cc3nccs3)c12,6.522878745280337,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4Cc4nccs4)nc3cc21,enzymatic_confirmed,
XIMMRDMYGGWLQH-FQEVSTJZSA-N,COc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@H]3COCCN3)C5=O)n(Cc3ncco3)c12,6.522878745280337,2,0.0,O=C1c2cc3nc(-c4cc5ccccc5n4Cc4ncco4)[nH]c3cc2CCN1C[C@H]1COCCN1,enzymatic_confirmed,
RCQTVOHSCQSVHI-OAHLLOKOSA-N,C[C@@H](N)CN1CCc2c(cc3nc(-c4cc5ccccc5n4CC4CC4)n(C)c3c2F)C1=O,6.522878745280337,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
CIQGBHJMJPWVDZ-ZDFQTVLFSA-N,COc1cccc2c1N(CC1CC1)[C@@H](c1nc3c(n1C)=CC1CCN(C[C@H](N)[C@@H](C)F)C(=O)C1C=3)C2,6.522878745280337,2,0.0,O=C1NCCC2C=c3[nH]c([C@H]4Cc5ccccc5N4CC4CC4)nc3=CC12,enzymatic_confirmed,
FEVIMWKHIZOJKP-YFUNYDNQSA-N,CN[C@H](C)CN1CCC2C=C3C(CC2C1=O)N=C(c1cc2ccccc2n1CC1CC1)N3C,6.423393743112328,2,0.3979,O=C1NCCC2C=C3NC(c4cc5ccccc5n4CC4CC4)=NC3CC12,enzymatic_confirmed,
BTJKEACCHIGMPB-HXUWFJFHSA-N,CC[C@@H](N)CN1CCc2cc3c(cc2C1=O)nc(-c1cc2ccccc2n1CC1CC1)n3C,6.423393743112328,2,0.3979,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
NAHUEHDPAYKUFC-MRXNPFEDSA-N,C[C@@H](N)CN1CCc2cc3c(cc2C1=O)nc(-c1cc2ccccc2n1CC1CC1)n3C,6.30501260141353,2,0.2614,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
LARDFWXNOVHHCR-GOSISDBHSA-N,Cn1c(-c2cc3cccnc3n2CC2CC2)nc2cc3c(cc21)CCN(C[C@H](N)CF)C3=O,6.30501260141353,2,0.2614,O=C1NCCc2cc3[nH]c(-c4cc5cccnc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
ZKEUXGUFPRBSCQ-QGZVFWFLSA-N,Cn1c(-c2cc3ccccc3n2CC2CC2)nc2cc3c(c(F)c21)CCN(C[C@H](N)CF)C3=O,6.224423738776309,2,0.3979,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
IMUXWEVGVNKJNS-NRFANRHFSA-N,COc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@H]3COCCN3)C5=O)n(CC3CC3)c12,6.224423738776309,2,0.3979,O=C1c2cc3nc(-c4cc5ccccc5n4CC4CC4)[nH]c3cc2CCN1C[C@H]1COCCN1,enzymatic_confirmed,
CIQGBHJMJPWVDZ-KUKJJJIBSA-N,COc1cccc2c1N(CC1CC1)[C@H](c1nc3c(n1C)=CC1CCN(C[C@H](N)[C@@H](C)F)C(=O)C1C=3)C2,6.224423738776309,2,0.3979,O=C1NCCC2C=c3[nH]c([C@@H]4Cc5ccccc5N4CC4CC4)nc3=CC12,enzymatic_confirmed,
JKCGAUGQZHYWTE-NRFANRHFSA-N,Cn1c(-c2cc3ccccc3n2CC2CC2)nc2cc3c(cc21)CCN(C[C@H]1COCCN1)C3=O,6.224423738776309,2,0.3979,O=C1c2cc3nc(-c4cc5ccccc5n4CC4CC4)[nH]c3cc2CCN1C[C@H]1COCCN1,enzymatic_confirmed,
BTZLRGSIKDYAEP-PERKSNPHSA-N,Cn1c(C2Cc3ccccc3N2CC2CC2)nc2c1=CC1CCN(C[C@H](N)C(F)F)C(=O)C1C=2,6.031234684152075,2,0.1249,O=C1NCCC2C=c3[nH]c(C4Cc5ccccc5N4CC4CC4)nc3=CC12,enzymatic_confirmed,
FKIUJYUNZVNKKC-GOSISDBHSA-N,C[C@H](CN1CCc2cc3c(cc2C1=O)nc(-c1cc2ccccc2n1CC1CC1)n3C)NCCF,6.0,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
GIULMMSEEDMYFG-QFIPXVFZSA-N,CC(C)[C@@H](N)CN1CCc2cc3c(cc2C1=O)nc(-c1cc2ccccc2n1CC1CC1)n3C,6.0,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
CKJLSDOHPGMDTO-UHFFFAOYSA-N,Cn1c(-c2cc3ccccc3n2CC2CC2)nc2cc3c(cc21)CCN(CC(C)(C)N)C3=O,6.0,2,0.0,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21,enzymatic_confirmed,
NDWHOUGLJHUYQV-OPJGWUQDSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3cnc(-c4ccccc4)n3CC3CC3)n(C)c12,6.0,2,0.0,O=C(c1ccc2[nH]c(-c3cnc(-c4ccccc4)n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
ABEFGKDQGGCDDP-MAUKXSAKSA-N,COc1cc(C(=O)N2C[C@H](N)CC[C@@H]2C)cc2nc(-c3ccc(C#N)n3CC3CC3)n(C)c12,5.960239895440028,2,0.2386,O=C(c1ccc2[nH]c(-c3cccn3CC3CC3)nc2c1)N1CCCCC1,enzymatic,
SRHAPVGITIDIDQ-YIFZBPKDSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n(C)c12,5.960239895440028,2,0.2386,O=C(c1ccc2[nH]c(-c3cccn3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
MKUUMKBIUCSTDG-OAQYLSRUSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cnc(-c4ccccc4)n3CC3CC3)n(C)c12,5.927078228050692,2,0.4375,O=C(c1ccc2[nH]c(-c3cnc(-c4ccccc4)n3CC3CC3)nc2c1)N1CCCCC1,enzymatic,
GCADLSSUDBPQES-QGZVFWFLSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3ccc(C#N)n3CC3CC3)n(C)c12,5.761439372640169,2,0.4771,O=C(c1ccc2[nH]c(-c3cccn3CC3CC3)nc2c1)N1CCCCC1,enzymatic,
XSNQSTGMYHHRTA-MUUNZHRXSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3ccc(C(=O)N(Cc4ccccc4)c4ccccc4)n3CC3CC3)n(C)c12,5.761439372640169,2,0.4771,O=C(c1ccc2[nH]c(-c3ccc(C(=O)N(Cc4ccccc4)c4ccccc4)n3CC3CC3)nc2c1)N1CCCCC1,enzymatic,
PZOXAHHNYDCHRG-LJQANCHMSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cnc(-c4ccccn4)n3CC3CC3)n(C)c12,5.761439372640169,2,0.4771,O=C(c1ccc2[nH]c(-c3cnc(-c4ccccn4)n3CC3CC3)nc2c1)N1CCCCC1,enzymatic,
OSSVXTKQSUKSKL-DMXRNTRESA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n(CC3CC(C)(OC)C3)c12,5.761439372640169,2,0.4771,O=C(c1ccc2c(c1)nc(-c1cccn1CC1CC1)n2CC1CCC1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
ZKQQYFJAYTYJGA-AYPBNUJASA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3cnc(-c4cnn(C)c4)n3CC3CC3)n(C)c12,5.761439372640169,2,0.4771,O=C(c1ccc2[nH]c(-c3cnc(-c4cn[nH]c4)n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
HVLSVVNXGQWBCK-ILOWORENSA-N,COC1(C)CC(Cn2c(-c3ccc(C#N)n3CC3CC3)nc3cc(C(=O)N4C[C@H]5CC[C@@H]4[C@@H]5N)cc(F)c32)C1,5.761439372640169,2,0.4771,O=C(c1ccc2c(c1)nc(-c1cccn1CC1CC1)n2CC1CCC1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
PVYJZLYGTZKPJE-UHFFFAOYSA-N,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,5.6020599913279625,2,0.0,O=C1C=CC(=O)c2nc(-c3cc(-c4ccccc4)ccn3)ccc21,enzymatic,enaminone
GLXZWUNVEKFCAF-YBGOQADZSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3Cc3ccccc3)n(C)c12,5.489717077891001,2,0.199,O=C(c1ccc2[nH]c(-c3cccn3Cc3ccccc3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
BTBPGGAFTLCQQN-QXTUTYKWSA-N,COc1cc(C(=O)N2C[C@H]3CCC2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CCc3ccccc3)n(C)c12,5.479305516506976,2,0.2614,O=C(c1ccc2[nH]c(-c3cccn3CCc3ccccc3)nc2c1)N1C[C@H]2CCC1C2,enzymatic,
WAFNPCGQURGJSW-AYPBNUJASA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3Cc3cnn(C)c3)n(C)c12,5.479305516506976,2,0.2614,O=C(c1ccc2[nH]c(-c3cccn3Cc3cn[nH]c3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
BXODOOVBVQDFDU-LCLGPDGMSA-N,COc1cc(C(=O)N2C[C@H]3CCC2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CCC3CCOCC3)n(C)c12,5.313497179560294,2,0.4604,O=C(c1ccc2[nH]c(-c3cccn3CCC3CCOCC3)nc2c1)N1C[C@H]2CCC1C2,enzymatic,
DYTDXLGNOLNRQD-NYQDVAGCSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3Cc3cccnc3)n(C)c12,5.313497179560294,2,0.4604,O=C(c1ccc2[nH]c(-c3cccn3Cc3cccnc3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
BPWATVWOHQZVRP-NSHDSACASA-N,NC(=O)[C@H](CCCN=C(N)CCl)NC(=O)c1ccccc1,5.218584798683325,3,0.0073,c1ccccc1,enzymatic,chloroacetamidine
KHDOCWSGAMXNIE-UHFFFAOYSA-N,NCC1CCCCN1C(=O)c1cc2c3c(c1)nc(-c1cc4ccccc4n1CC1CC1)n3CCO2,5.129818655252878,2,0.2596,O=C(c1cc2c3c(c1)nc(-c1cc4ccccc4n1CC1CC1)n3CCO2)N1CCCCC1,enzymatic,
ZNZIUUCKQWQCAF-CFRFINDLSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CCc3ccccn3)n(C)c12,5.06246936830415,2,0.1249,O=C(c1ccc2[nH]c(-c3cccn3CCc3ccccn3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
RJYXPGBCTNRSFH-OLLUBJOZSA-N,CCn1c(-c2cn(CC3CC3)c(-c3ccccc3)n2)nc2cc(C(=O)N3C[C@H]4CC[C@@H]3[C@@H]4N)cc(OC)c21,5.0,2,0.0,O=C(c1ccc2[nH]c(-c3cn(CC4CC4)c(-c4ccccc4)n3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
PXPXXTJJFPSVAB-QGZVFWFLSA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3cn(CC4CC4)c(-c4nccs4)n3)n(C)c12,5.0,2,0.0,O=C(c1ccc2[nH]c(-c3cn(CC4CC4)c(-c4nccs4)n3)nc2c1)N1CCCCC1,enzymatic,
FTNTXJHJFLVKPC-JOCHJYFZSA-N,CCn1c(-c2cn(CC3CC3)c(-c3ccccc3)n2)nc2cc(C(=O)N3CCC[C@@H](N)C3)cc(OC)c21,5.0,2,0.0,O=C(c1ccc2[nH]c(-c3cn(CC4CC4)c(-c4ccccc4)n3)nc2c1)N1CCCCC1,enzymatic,
UOGDCLOXIZEUTN-RZPHLTDDSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3cn(CC4CC4)c(-c4ccccc4)n3)n(C)c12,5.0,2,0.0,O=C(c1ccc2[nH]c(-c3cn(CC4CC4)c(-c4ccccc4)n3)nc2c1)N1C[C@H]2CC[C@@H]1C2,enzymatic,
OLFDULIIJWCYCK-NSHDSACASA-N,NC(=O)[C@H](CCCN=C(N)CF)NC(=O)c1ccccc1,4.570884770500044,2,0.0,c1ccccc1,enzymatic,fluoroacetamidine
