ik_a,ik_b,delta_pic50,tanimoto_ecfp4,tanimoto_ecfp6,robust,hub_involved,mmp_validated
SNGZWRFTYBDAGE-JCHVILAISA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.0059427671652843,0.8160919540229885,0.768595041322314,False,True,True
XQTXXZKKQQEXQJ-JOCHJYFZSA-N,VLAXNKASDDXGFU-LJQANCHMSA-N,2.2552725051033056,0.8192771084337349,0.7758620689655172,False,False,True
XQTXXZKKQQEXQJ-JOCHJYFZSA-N,DCWONHKPZRUFJT-OAQYLSRUSA-N,2.4651968979101877,0.8192771084337349,0.782608695652174,False,False,True
RKLNNGQJROHZOF-GNTVVGMTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,2.035324390826383,0.8674698795180723,0.8103448275862069,True,False,True
RKLNNGQJROHZOF-GNTVVGMTSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.3804016799877994,0.8470588235294118,0.7899159663865546,False,True,True
WQNCRDJMLQSQCQ-UCDZCMRKSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.0359059905427275,0.8620689655172413,0.825,True,True,True
TZPKGQDKWPGOGH-VDOBOPNRSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.078648696033741,0.8068181818181818,0.7222222222222222,False,True,True
TZPKGQDKWPGOGH-VDOBOPNRSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.127676363898374,0.8928571428571429,0.8389830508474576,True,True,True
UTKKNIQJEBWKCD-CDNDPLPTSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.154005302620722,0.8068181818181818,0.7622950819672131,False,True,True
BWTBYTFLDISNFI-WFNCXJDMSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.019063006049496,0.8181818181818182,0.7419354838709677,False,True,True
YUHZLTYIGGBRCL-OFKODDFHSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.0419258890090006,0.8181818181818182,0.7419354838709677,False,True,True
HCVYAIQSYNFWFL-MDLALNFGSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.078648696033741,0.8409090909090909,0.7804878048780488,False,True,False
RXOPZPXJRLYRAF-KFACBJOOSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.154005302620722,0.8160919540229885,0.768595041322314,False,True,False
QUGDJUDQMAHGNQ-AQEANLGOSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.019063006049496,0.8222222222222222,0.782258064516129,False,True,False
FMNSJJUYYNOGSP-FLVRFYSZSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.078648696033741,0.8089887640449438,0.7580645161290323,False,True,False
WNVSDECEZODUPK-JAEXGXQOSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.0916136731981076,0.872093023255814,0.8166666666666667,True,True,True
FOBNOYWWYUHZGJ-CPWPOOERSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.0680906739141287,0.8390804597701149,0.7619047619047619,False,True,True
PPYDIYQJBOFKJJ-CCWBKVMBSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.2483997770584025,0.8314606741573034,0.7741935483870968,False,True,True
LFPPSFVNBGNNPR-UCDZCMRKSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,2.200134639472375,0.8941176470588236,0.8620689655172413,True,False,True
LFPPSFVNBGNNPR-UCDZCMRKSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.5452119286337913,0.8314606741573034,0.7950819672131147,False,True,True
LFPPSFVNBGNNPR-UCDZCMRKSA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,2.0205525035278376,0.8021978021978022,0.768,False,False,True
CGWRMBYFKYPJSA-RXEARMEOSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.2277915167816404,0.8089887640449438,0.7480314960629921,False,True,True
XCRYSDRGCKTKKK-KFHGAJFOSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.127676363898374,0.8,0.7364341085271318,False,True,True
IOWPZLZDXNUXKG-OFKODDFHSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,2.178763848917008,0.8444444444444444,0.792,False,True,True
SMADULGDNOCLOP-GISFHXKWSA-N,NCNREJRBJOTJAJ-JAEXGXQOSA-N,2.287908318342076,0.8241758241758241,0.7698412698412699,False,True,True
SMADULGDNOCLOP-GISFHXKWSA-N,UNGYPWLQAZQTIO-ZREWPKOVSA-N,2.1187659192417216,0.8426966292134831,0.7903225806451613,False,True,True
SMADULGDNOCLOP-GISFHXKWSA-N,WRHOMFJKHSWYJS-VDOBOPNRSA-N,2.2299163713643892,0.8068181818181818,0.7419354838709677,False,True,True
SMADULGDNOCLOP-GISFHXKWSA-N,GDNYILLQBQRSAV-TWDLTGNASA-N,2.008067621748033,0.8181818181818182,0.7580645161290323,False,True,True
SMADULGDNOCLOP-GISFHXKWSA-N,PJLWBJYOZPZIFT-ZREWPKOVSA-N,2.1187659192417216,0.8241758241758241,0.7777777777777778,False,True,True
SMADULGDNOCLOP-GISFHXKWSA-N,LHCGWKJDICUCEG-KTBVXVCESA-N,2.287908318342076,0.8333333333333334,0.7903225806451613,False,True,True
MRNJWOMRYSTQPG-LCRYKWFRSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.0157026044544404,0.8,0.7580645161290323,False,True,True
WRHOMFJKHSWYJS-VDOBOPNRSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,2.278944039229022,0.8705882352941177,0.8151260504201681,True,True,True
XZEQIKBQYLFCFP-OFKODDFHSA-N,LHCGWKJDICUCEG-KTBVXVCESA-N,2.0245247598709293,0.8064516129032258,0.7716535433070866,False,False,True
NXLODQYXKFLXEG-BTDDGAACSA-N,BCZPEKVMAZSURM-GNTVVGMTSA-N,2.6311054016552653,0.8297872340425532,0.7984496124031008,False,False,True
YBRYCMKAKUNWFO-LTFVAXTNSA-N,UXUIFFMVADUAON-CXBZOWBPSA-N,2.351216345339342,0.8064516129032258,0.7,False,False,True
XMLNOTFMOBYSBU-HXUWFJFHSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.6126101736612704,0.8571428571428571,0.8103448275862069,True,True,True
XMLNOTFMOBYSBU-HXUWFJFHSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.6126101736612704,0.8372093023255814,0.7966101694915254,False,True,True
KVTKINWILIQXMO-OAQYLSRUSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.8035474582966113,0.9036144578313253,0.8839285714285714,True,True,True
KVTKINWILIQXMO-OAQYLSRUSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.8035474582966113,0.8823529411764706,0.868421052631579,True,True,True
VCWHGOPUEXSIAX-JOCHJYFZSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.924453038607469,0.8372093023255814,0.7966101694915254,False,True,True
VCWHGOPUEXSIAX-JOCHJYFZSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.924453038607469,0.8181818181818182,0.7833333333333333,False,True,True
VCWHGOPUEXSIAX-JOCHJYFZSA-N,QGGNDXGZJHUSSA-GOSISDBHSA-N,2.234083206033368,0.8372093023255814,0.7931034482758621,False,False,False
BVUMJIRBLWLPNT-OAQYLSRUSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.484126156288321,0.8045977011494253,0.7666666666666667,False,True,True
KKEPYHNMZDFGFZ-JOCHJYFZSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.180456064458131,0.8823529411764706,0.853448275862069,True,True,True
KKEPYHNMZDFGFZ-JOCHJYFZSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.180456064458131,0.8620689655172413,0.8389830508474576,True,True,True
SCMQIRWIRWDRLV-AREMUKBSSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.4156687756324686,0.8620689655172413,0.8181818181818182,True,True,True
SCMQIRWIRWDRLV-AREMUKBSSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.4156687756324686,0.8426966292134831,0.8048780487804879,True,True,True
KYBHPHAXGGSZPB-JOCHJYFZSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.565431095965801,0.8372093023255814,0.7899159663865546,False,True,True
KYBHPHAXGGSZPB-JOCHJYFZSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.565431095965801,0.8390804597701149,0.7916666666666666,False,True,True
BGBBWIFRUCEWMS-HXUWFJFHSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.1992829217176144,0.8620689655172413,0.8389830508474576,True,True,True
BGBBWIFRUCEWMS-HXUWFJFHSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.1992829217176144,0.8426966292134831,0.825,True,True,True
CQWFGKDJGWSGSK-OAQYLSRUSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.7520267336381936,0.8372093023255814,0.7899159663865546,False,True,True
CQWFGKDJGWSGSK-OAQYLSRUSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.7520267336381936,0.8181818181818182,0.7768595041322314,False,True,True
CQWFGKDJGWSGSK-OAQYLSRUSA-N,MZSMHDUPQNNXTK-FQEVSTJZSA-N,2.106135172785595,0.8181818181818182,0.775,False,False,True
JHCOCDUNEWCPDJ-LJQANCHMSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.718734615568869,0.8181818181818182,0.7983193277310925,False,True,True
JHCOCDUNEWCPDJ-LJQANCHMSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.718734615568869,0.8,0.7851239669421488,False,True,True
JHCOCDUNEWCPDJ-LJQANCHMSA-N,YAHQJIWNFQVWGH-UHFFFAOYSA-N,2.1235683321888077,0.8021978021978022,0.7622950819672131,False,False,True
JHCOCDUNEWCPDJ-LJQANCHMSA-N,QGGNDXGZJHUSSA-GOSISDBHSA-N,2.0283647829947684,0.927710843373494,0.8918918918918919,True,False,True
IQBSSKFAACESCW-HXUWFJFHSA-N,UDCDEKJNAMHBFH-HSZRJFAPSA-N,2.441291429466834,0.872093023255814,0.853448275862069,True,True,True
IQBSSKFAACESCW-HXUWFJFHSA-N,DVCKJOQIVOGXEI-XMMPIXPASA-N,2.441291429466834,0.8522727272727273,0.8389830508474576,True,True,True
UDCDEKJNAMHBFH-HSZRJFAPSA-N,QYUCTVIPCCLAIZ-JOCHJYFZSA-N,2.785156151952302,0.8181818181818182,0.8,True,True,True
DVCKJOQIVOGXEI-XMMPIXPASA-N,QYUCTVIPCCLAIZ-JOCHJYFZSA-N,2.785156151952302,0.8,0.7868852459016393,False,True,True
XFNHWGBLXODYMR-HXUWFJFHSA-N,QGGNDXGZJHUSSA-GOSISDBHSA-N,2.0415204376174207,0.8202247191011236,0.768595041322314,False,False,False
CQJUFPGIBDGKLI-OXJNMPFZSA-N,QGGNDXGZJHUSSA-GOSISDBHSA-N,2.038253295531825,0.8181818181818182,0.7583333333333333,False,False,True
KPMPCLPZOHGVGR-GVCORALISA-N,ACDAFJAJTHFIQA-AUZMWRNASA-N,2.0212816137651313,0.8488372093023255,0.7583333333333333,False,False,False
LIWXHHMEQAPAGZ-QKNQBKEWSA-N,WDRJLORLDTWTEV-QZNHQXDQSA-N,3.044793462458058,0.8,0.7795275590551181,False,False,True
BCHLSCBZCOCRKN-SFTDATJTSA-N,NFPBHTVGQPXGFY-NHCUHLMSSA-N,2.2152849801139674,0.8651685393258427,0.8583333333333333,True,False,True
ZOAONFSVARXNNV-KXLZNQPTSA-N,IUVPDHXLQQUGMB-DNQXCXABSA-N,2.008773924307505,0.8061224489795918,0.7910447761194029,False,False,True
NFPBHTVGQPXGFY-NHCUHLMSSA-N,IUVPDHXLQQUGMB-DNQXCXABSA-N,2.3187587626244124,0.8020833333333334,0.7923076923076923,False,False,True
VBPFHLZFZVJNHB-JOCHJYFZSA-N,DQYBRNLGMWOIAD-UHFFFAOYSA-N,2.0,0.8539325842696629,0.8571428571428571,True,False,False
KVMPLKNGFPPJEW-HWVXXCOISA-N,DFQZFXZWGBIVAD-CLJLJLNGSA-N,2.485985638199878,0.8160919540229885,0.7886178861788617,False,False,True
SIQFSMORDDWOQU-AREMUKBSSA-N,CSIRJPXUQDSYOW-HHHXNRCGSA-N,2.480725378988488,0.8,0.7603305785123967,False,False,True
SIQFSMORDDWOQU-AREMUKBSSA-N,LFNUUCVWQIPJNI-SUHSUELASA-N,2.0036041242688256,0.8117647058823529,0.7851239669421488,False,False,False
DFQZFXZWGBIVAD-CLJLJLNGSA-N,CQGWPDDLIRVUCO-JWQCQUIFSA-N,2.4771212547196626,0.8352941176470589,0.8220338983050848,True,False,True
DFQZFXZWGBIVAD-CLJLJLNGSA-N,MKJUETQMTPGHGC-KAYWLYCHSA-N,2.134698573897456,0.8780487804878049,0.8275862068965517,True,False,True
DFQZFXZWGBIVAD-CLJLJLNGSA-N,KVMPLKNGFPPJEW-RULIXLRNSA-N,2.574031267727719,0.8160919540229885,0.7886178861788617,False,False,False
DFQZFXZWGBIVAD-CLJLJLNGSA-N,KVMPLKNGFPPJEW-JGZPXTCXSA-N,2.3979400086720375,0.8160919540229885,0.7886178861788617,False,False,False
GMZVAQJVBFWSIS-RUZDIDTESA-N,CSIRJPXUQDSYOW-HHHXNRCGSA-N,2.379361349272659,0.9375,0.8632478632478633,True,False,True
GMZVAQJVBFWSIS-RUZDIDTESA-N,DXZLTZZZLYIHJG-AREMUKBSSA-N,2.078331353608678,0.8023255813953488,0.689922480620155,False,False,False
CIIHYWMLMWIWJT-DNQXCXABSA-N,IIWCKVZWLWDNIR-DNQXCXABSA-N,2.20682587603185,0.8241758241758241,0.7348484848484849,False,False,False
IGZIDTNYUHLUDZ-GWQXNCQPSA-N,INTIBJQLLPOYKV-HSZRJFAPSA-N,2.1300838110349947,0.8202247191011236,0.8347107438016529,True,False,True
INTIBJQLLPOYKV-HSZRJFAPSA-N,VRWQITKRSFXCGO-HSZRJFAPSA-N,2.5676144427308447,0.8068181818181818,0.7741935483870968,False,False,True
